VIT_01s0011g00230	Vitvi01g00024
VIT_04s0008g05210	Vitvi04g00464
VIT_04s0008g05300	Vitvi04g00471
VIT_04s0008g05450	Vitvi04g00480
VIT_04s0008g05730	Vitvi04g00508
VIT_04s0008g05750	Vitvi04g00510
VIT_04s0008g05760	Vitvi04g00511
VIT_04s0008g05990	Vitvi04g01914
VIT_04s0008g06040	Vitvi04g00537
VIT_04s0008g06330	Vitvi04g00567
VIT_04s0008g06390	Vitvi04g00573
VIT_04s0008g06480	Vitvi04g00581
VIT_04s0008g06570	Vitvi04g00594
VIT_04s0008g06780	Vitvi04g00610
VIT_04s0069g00920	Vitvi04g00756
VIT_04s0069g01060	Vitvi04g00769
VIT_04s0079g00200	Vitvi04g00824
VIT_04s0079g00230	Vitvi04g00831
VIT_04s0079g00680	Vitvi04g02011
VIT_04s0079g00760	Vitvi04g04247
VIT_04s0043g00900	Vitvi04g01056
VIT_04s0043g00930	Vitvi04g01061
VIT_04s0043g01010	Vitvi04g01082
VIT_04s0023g00110	Vitvi04g01124
VIT_04s0023g00320	Vitvi04g01151
VIT_04s0023g00450	Vitvi04g01162
VIT_04s0023g00600	Vitvi04g01175
VIT_04s0023g01220	Vitvi04g01231
VIT_04s0023g01250	Vitvi04g01234
VIT_04s0023g01330	Vitvi04g01244
VIT_04s0023g01650	Vitvi04g01280
VIT_04s0023g01850	Vitvi04g01300
VIT_04s0023g02400	Vitvi04g01360
VIT_04s0023g02780	Vitvi04g01399
VIT_04s0023g02810	Vitvi04g01402
VIT_04s0023g02900	Vitvi04g01412
VIT_04s0023g03100	Vitvi04g01429
VIT_04s0023g03170	Vitvi04g02147
VIT_04s0023g03590	Vitvi04g02159
VIT_04s0023g03600	Vitvi04g02160
VIT_04s0023g03820	Vitvi04g01492
VIT_04s0023g03860	Vitvi04g01498
VIT_00s0264g00030	Vitvi04g01535
VIT_00s0264g00100	Vitvi04g01530
VIT_00s0759g00010	Vitvi04g02288
VIT_04s0210g00030	Vitvi04g04438
VIT_04s0210g00050	Vitvi04g01550
VIT_04s0210g00120	Vitvi04g04439
VIT_04s0210g00130	Vitvi04g02198
VIT_04s0210g00180	Vitvi04g01557
VIT_04s0210g00190	Vitvi04g01558
VIT_04s0044g00550	Vitvi04g01611
VIT_04s0044g00710	Vitvi04g01633
VIT_04s0044g01490	Vitvi04g01711
VIT_04s0044g01740	Vitvi04g01740
VIT_04s0044g01850	Vitvi04g01746
VIT_04s0044g01860	Vitvi04g01747
VIT_05s0077g02040	Vitvi05g00035
VIT_05s0077g01930	Vitvi05g00045
VIT_05s0077g00940	Vitvi05g00130
VIT_05s0077g00690	Vitvi05g00149
VIT_05s0077g00120	Vitvi05g01808
VIT_05s0020g00380	Vitvi05g00207
VIT_05s0020g00670	Vitvi05g00242
VIT_05s0020g01070	Vitvi05g00271
VIT_05s0020g01100	Vitvi05g00275
VIT_05s0020g01530	Vitvi05g00321
VIT_05s0020g02030	Vitvi05g00364
VIT_05s0020g02130	Vitvi05g00372
VIT_05s0020g02480	Vitvi05g00403
VIT_05s0020g02840	Vitvi05g01878
VIT_05s0020g02880	Vitvi05g00442
VIT_05s0020g03260	Vitvi05g00481
VIT_05s0020g03280	Vitvi05g00483
VIT_05s0020g03430	Vitvi05g00497
VIT_05s0020g03860	Vitvi05g00539
VIT_05s0020g04430	Vitvi05g00606
VIT_05s0020g04510	Vitvi05g00614
VIT_05s0020g04690	Vitvi05g00630
VIT_05s0020g04900	Vitvi05g00654
VIT_05s0049g00090	Vitvi05g00684
VIT_05s0049g00500	Vitvi05g01723
VIT_05s0049g00510	Vitvi05g00715
VIT_05s0049g00920	Vitvi05g00733
VIT_05s0049g00930	Vitvi05g00734
VIT_05s0049g00940	Vitvi05g01956
VIT_05s0049g00960	Vitvi05g00737
VIT_05s0049g01520	Vitvi05g00800
VIT_05s0049g01970	Vitvi05g00838
VIT_05s0049g01980	Vitvi05g00839
VIT_05s0049g02130	Vitvi05g01990
VIT_05s0051g00830	Vitvi05g00975
VIT_05s0051g00870	Vitvi05g00979
VIT_05s0051g00930	Vitvi05g00990
VIT_05s0029g00040	Vitvi05g01061
VIT_05s0029g00420	Vitvi05g01108
VIT_05s0029g01140	Vitvi05g01193
VIT_05s0124g00390	Vitvi05g01408
VIT_05s0102g00090	Vitvi05g01467
VIT_05s0102g00120	Vitvi05g01469
VIT_05s0102g00230	Vitvi05g01482
VIT_05s0102g00270	Vitvi05g01488
VIT_05s0102g00880	Vitvi05g01524
VIT_05s0094g00780	Vitvi05g01624
VIT_05s0094g00900	Vitvi05g01634
VIT_05s0094g01110	Vitvi05g01660
VIT_05s0094g01410	Vitvi05g01686
VIT_05s0094g01480	Vitvi05g01692
VIT_05s0094g01490	Vitvi05g01693
VIT_06s0004g00020	Vitvi06g00007
VIT_06s0004g00190	Vitvi06g00028
VIT_06s0004g00830	Vitvi06g00085
VIT_06s0004g01160	Vitvi06g00110
VIT_06s0004g01250	Vitvi06g00119
VIT_06s0004g02030	Vitvi06g00205
VIT_06s0004g02060	Vitvi06g00210
VIT_06s0004g02100	Vitvi06g00213
VIT_06s0004g02140	Vitvi06g00216
VIT_06s0004g02590	Vitvi06g00250
VIT_06s0004g02620	Vitvi06g04091
VIT_06s0004g02750	Vitvi06g00272
VIT_06s0004g02900	Vitvi06g00286
VIT_06s0004g02960	Vitvi06g00293
VIT_06s0004g03070	Vitvi06g00304
VIT_06s0004g03140	Vitvi06g00312
VIT_06s0004g03340	Vitvi06g00337
VIT_06s0004g03430	Vitvi06g00346
VIT_06s0004g03540	Vitvi06g00356
VIT_06s0004g03590	Vitvi06g00360
VIT_06s0004g03790	Vitvi06g00381
VIT_06s0004g04080	Vitvi06g00407
VIT_06s0004g04390	Vitvi06g00435
VIT_06s0004g04530	Vitvi06g00450
VIT_06s0004g04810	Vitvi06g00473
VIT_06s0004g05470	Vitvi06g00534
VIT_06s0004g05780	Vitvi06g00562
VIT_06s0004g05920	Vitvi06g00576
VIT_06s0004g05930	Vitvi06g01736
VIT_06s0004g06300	Vitvi06g00614
VIT_06s0004g06320	Vitvi06g00617
VIT_06s0004g06700	Vitvi06g00652
VIT_06s0004g06720	Vitvi06g00654
VIT_06s0004g06730	Vitvi06g00656
VIT_06s0004g06830	Vitvi06g00666
VIT_06s0004g07660	Vitvi06g00759
VIT_06s0004g07790	Vitvi06g00772
VIT_06s0004g07950	Vitvi06g00787
VIT_06s0004g08150	Vitvi06g00803
VIT_06s0004g08460	Vitvi06g00845
VIT_06s0009g00770	Vitvi06g00956
VIT_06s0009g00850	Vitvi06g00966
VIT_06s0009g00880	Vitvi06g00972
VIT_06s0009g01080	Vitvi06g00995
VIT_06s0009g01460	Vitvi06g01044
VIT_06s0009g01780	Vitvi06g01072
VIT_06s0009g02320	Vitvi06g01125
VIT_06s0009g02520	Vitvi06g01147
VIT_06s0009g02790	Vitvi06g01172
VIT_06s0009g03120	Vitvi06g01203
VIT_06s0009g03130	Vitvi06g01205
VIT_06s0009g03240	Vitvi06g01217
VIT_06s0009g03740	Vitvi06g01261
VIT_06s0061g00040	Vitvi06g01272
VIT_06s0061g00080	Vitvi06g01276
VIT_06s0061g00690	Vitvi06g01341
VIT_06s0061g00710	Vitvi06g01344
VIT_06s0061g00750	Vitvi06g01349
VIT_06s0061g01120	Vitvi06g01389
VIT_06s0080g00360	Vitvi06g01480
VIT_06s0080g00560	Vitvi06g01502
VIT_06s0080g01110	Vitvi06g01552
VIT_07s0141g00390	Vitvi07g00037
VIT_07s0141g00290	Vitvi07g00042
VIT_07s0141g00210	Vitvi07g00047
VIT_00s0179g00330	Vitvi07g00063
VIT_00s0179g00300	Vitvi07g00066
VIT_07s0151g01040	Vitvi07g00127
VIT_07s0151g01070	Vitvi07g00130
VIT_07s0104g00320	Vitvi07g00160
VIT_07s0104g00610	Vitvi07g00187
VIT_07s0104g00800	Vitvi07g00203
VIT_07s0104g00930	Vitvi07g00217
VIT_07s0104g01030	Vitvi07g00223
VIT_07s0104g01230	Vitvi07g00238
VIT_07s0104g01320	Vitvi07g00248
VIT_07s0104g01360	Vitvi07g00252
VIT_07s0005g00150	Vitvi07g00299
VIT_07s0005g00750	Vitvi07g00353
VIT_07s0005g00880	Vitvi07g00362
VIT_07s0005g01030	Vitvi07g00376
VIT_07s0005g01280	Vitvi07g00399
VIT_07s0005g01430	Vitvi07g00411
VIT_07s0005g02230	Vitvi07g02247
VIT_07s0005g02470	Vitvi07g00513
VIT_07s0005g02480	Vitvi07g00515
VIT_07s0005g02550	Vitvi07g00521
VIT_07s0005g02640	Vitvi07g00531
VIT_07s0005g02800	Vitvi07g00544
VIT_07s0005g02950	Vitvi07g00563
VIT_07s0005g03190	Vitvi07g02062
VIT_07s0005g03200	Vitvi07g02064
VIT_07s0005g03210	Vitvi07g00590
VIT_07s0005g03300	Vitvi07g02266
VIT_07s0005g03340	Vitvi07g00598
VIT_07s0005g03730	Vitvi07g00630
VIT_07s0005g03790	Vitvi07g00637
VIT_07s0005g04380	Vitvi07g00687
VIT_07s0005g04420	Vitvi07g00691
VIT_07s0005g04480	Vitvi07g00696
VIT_07s0005g04700	Vitvi07g04174
VIT_07s0005g05780	Vitvi07g00824
VIT_07s0005g06340	Vitvi07g00907
VIT_00s0184g00040	Vitvi07g01061
VIT_00s0340g00070	Vitvi07g02991
VIT_00s0340g00050	Vitvi07g02990
VIT_00s0220g00110	Vitvi07g01247
VIT_07s0197g00080	Vitvi07g01323
VIT_00s0662g00010	Vitvi07g03026
VIT_00s0304g00040	Vitvi07g01360
VIT_00s0742g00040	Vitvi07g04555
VIT_00s0391g00070	Vitvi07g03049
VIT_07s0191g00190	Vitvi07g01482
VIT_07s0191g00240	Vitvi07g01475
VIT_00s0199g00210	Vitvi07g01460
VIT_00s0199g00170	Vitvi07g02591
VIT_00s0218g00110	Vitvi07g01408
VIT_00s0218g00070	Vitvi07g01403
VIT_00s1437g00010	Vitvi07g03132
VIT_00s0558g00010	Vitvi07g04666
VIT_00s0670g00020	Vitvi07g04669
VIT_07s0129g00240	Vitvi07g01602
VIT_07s0129g00270	Vitvi07g01605
VIT_07s0129g00530	Vitvi07g01633
VIT_07s0129g01100	Vitvi07g01683
VIT_07s0031g00190	Vitvi07g01702
VIT_07s0031g00470	Vitvi07g01731
VIT_07s0031g00620	Vitvi07g01745
VIT_07s0031g00710	Vitvi07g01755
VIT_07s0031g00920	Vitvi07g01777
VIT_07s0031g00980	Vitvi07g01783
VIT_07s0031g01460	Vitvi07g01823
VIT_07s0031g01600	Vitvi07g01835
VIT_07s0031g01770	Vitvi07g01853
VIT_07s0031g02200	Vitvi07g01893
VIT_07s0031g02390	Vitvi07g01908
VIT_07s0031g02750	Vitvi07g01952
VIT_07s0031g02820	Vitvi07g01959
VIT_07s0031g03090	Vitvi07g02717
VIT_07s0031g03170	Vitvi07g02000
VIT_07s0130g00350	Vitvi07g02043
VIT_08s0056g00310	Vitvi08g00027
VIT_08s0056g01570	Vitvi08g00135
VIT_08s0056g01640	Vitvi08g00142
VIT_08s0032g00090	Vitvi08g00160
VIT_08s0032g00840	Vitvi08g00225
VIT_08s0032g01110	Vitvi08g00274
VIT_08s0032g01130	Vitvi08g00281
VIT_08s0105g00430	Vitvi08g00662
VIT_08s0105g00460	Vitvi08g00667
VIT_08s0105g00590	Vitvi08g00678
VIT_08s0058g00690	Vitvi08g00793
VIT_08s0058g00930	Vitvi08g00816
VIT_08s0040g00510	Vitvi08g00913
VIT_08s0040g00780	Vitvi08g00940
VIT_08s0040g01330	Vitvi08g00987
VIT_08s0040g01700	Vitvi08g01021
VIT_08s0040g01810	Vitvi08g01033
VIT_08s0040g02100	Vitvi08g01050
VIT_08s0040g02900	Vitvi08g01117
VIT_08s0040g03320	Vitvi08g01162
VIT_08s0007g00060	Vitvi08g01177
VIT_08s0007g00170	Vitvi08g01185
VIT_08s0007g01060	Vitvi08g01261
VIT_08s0007g01570	Vitvi08g01301
VIT_08s0007g01760	Vitvi08g01320
VIT_08s0007g01790	Vitvi08g01323
VIT_08s0007g02480	Vitvi08g01385
VIT_08s0007g02510	Vitvi08g01388
VIT_08s0007g02710	Vitvi08g01402
VIT_08s0007g03240	Vitvi08g01454
VIT_08s0007g03280	Vitvi08g01457
VIT_08s0007g03320	Vitvi08g01460
VIT_08s0007g03750	Vitvi08g01497
VIT_08s0007g03830	Vitvi08g01506
VIT_08s0007g03930	Vitvi08g01517
VIT_08s0007g04250	Vitvi08g01548
VIT_08s0007g04310	Vitvi08g01554
VIT_08s0007g04520	Vitvi08g01573
VIT_08s0007g04530	Vitvi08g01574
VIT_08s0007g04790	Vitvi08g01603
VIT_08s0007g04830	Vitvi08g01607
VIT_08s0007g05130	Vitvi08g01634
VIT_08s0007g05170	Vitvi08g01638
VIT_08s0007g05260	Vitvi08g01646
VIT_08s0007g05360	Vitvi08g01656
VIT_08s0007g05410	Vitvi08g01660
VIT_08s0007g05600	Vitvi08g01672
VIT_08s0007g05690	Vitvi08g01674
VIT_08s0007g05710	Vitvi08g01676
VIT_08s0007g05920	Vitvi08g01695
VIT_08s0007g06270	Vitvi08g01720
VIT_08s0007g06450	Vitvi08g02345
VIT_08s0007g06490	Vitvi08g01737
VIT_08s0007g07100	Vitvi08g01784
VIT_08s0007g07170	Vitvi08g01792
VIT_08s0007g08110	Vitvi08g01872
VIT_08s0007g08200	Vitvi08g01879
VIT_08s0007g08310	Vitvi08g01890
VIT_08s0007g08380	Vitvi08g01897
VIT_08s0007g08470	Vitvi08g01905
VIT_09s0002g00810	Vitvi09g01499
VIT_09s0002g00820	Vitvi09g01500
VIT_09s0002g01080	Vitvi09g00085
VIT_09s0002g01850	Vitvi09g00156
VIT_09s0002g02390	Vitvi09g00200
VIT_09s0002g02630	Vitvi09g00220
VIT_09s0002g03410	Vitvi09g00281
VIT_09s0002g04080	Vitvi09g00336
VIT_09s0002g05200	Vitvi09g00439
VIT_09s0002g05230	Vitvi09g00442
VIT_09s0002g06760	Vitvi09g00595
VIT_09s0002g07640	Vitvi09g04207
VIT_09s0002g08370	Vitvi09g00753
VIT_09s0002g08670	Vitvi09g00794
VIT_09s0070g00240	Vitvi09g00993
VIT_09s0070g00470	Vitvi09g01011
VIT_09s0070g00580	Vitvi09g01025
VIT_09s0018g00240	Vitvi09g01122
VIT_09s0018g01180	Vitvi09g01227
VIT_09s0018g01190	Vitvi09g01229
VIT_09s0018g01820	Vitvi09g01287
VIT_09s0054g00600	Vitvi09g01372
VIT_09s0054g00930	Vitvi09g01401
VIT_10s0116g00410	Vitvi10g00020
VIT_10s0116g00860	Vitvi10g00047
VIT_10s0116g00910	Vitvi10g00050
VIT_10s0116g00920	Vitvi10g01613
VIT_10s0116g01200	Vitvi10g00063
VIT_10s0116g01480	Vitvi10g00073
VIT_10s0116g01540	Vitvi10g00078
VIT_10s0116g01670	Vitvi10g00088
VIT_10s0116g01730	Vitvi10g00094
VIT_00s2750g00010	Vitvi10g00174
VIT_00s0187g00340	Vitvi10g00177
VIT_00s0187g00300	Vitvi10g04077
VIT_00s0194g00110	Vitvi10g00223
VIT_00s0194g00120	Vitvi10g00224
VIT_10s0405g00030	Vitvi10g00285
VIT_00s0181g00140	Vitvi10g00366
VIT_00s0181g00250	Vitvi10g00383
VIT_00s0647g00010	Vitvi10g04300
VIT_00s0583g00030	Vitvi10g00414
VIT_00s0265g00030	Vitvi10g04315
VIT_10s0003g00050	Vitvi10g04328
VIT_10s0003g00420	Vitvi10g00510
VIT_10s0003g01000	Vitvi10g00554
VIT_10s0003g01560	Vitvi10g00613
VIT_10s0003g01830	Vitvi10g00639
VIT_10s0003g02810	Vitvi10g00732
VIT_10s0003g02880	Vitvi10g00739
VIT_10s0003g03080	Vitvi10g00754
VIT_10s0003g03270	Vitvi10g00777
VIT_10s0003g03750	Vitvi10g00821
VIT_10s0003g03830	Vitvi10g00829
VIT_10s0003g03870	Vitvi10g00835
VIT_10s0003g03910	Vitvi10g00838
VIT_10s0003g04100	Vitvi10g00854
VIT_10s0003g04120	Vitvi10g00858
VIT_10s0003g04240	Vitvi10g00870
VIT_10s0003g04390	Vitvi10g00886
VIT_10s0003g04470	Vitvi10g00888
VIT_10s0003g05040	Vitvi10g00950
VIT_10s0003g05380	Vitvi10g01016
VIT_10s0092g00090	Vitvi10g01098
VIT_10s0042g01250	Vitvi10g01335
VIT_10s0042g01090	Vitvi10g01358
VIT_10s0042g00950	Vitvi10g01386
VIT_10s0042g00830	Vitvi10g01394
VIT_10s0042g00170	Vitvi10g01466
VIT_10s0042g00100	Vitvi10g01476
VIT_10s0042g00050	Vitvi10g02038
VIT_10s0042g00020	Vitvi10g04679
VIT_10s0071g00010	Vitvi10g02041
VIT_10s0071g00250	Vitvi10g01505
VIT_10s0071g00290	Vitvi10g01506
VIT_10s0071g00950	Vitvi10g01555
VIT_11s0016g00280	Vitvi11g00012
VIT_11s0016g00340	Vitvi11g00017
VIT_11s0016g00470	Vitvi11g00030
VIT_11s0016g00540	Vitvi11g00037
VIT_11s0016g00640	Vitvi11g00043
VIT_11s0016g00830	Vitvi11g00063
VIT_11s0016g00860	Vitvi11g01328
VIT_11s0016g00870	Vitvi11g01329
VIT_11s0016g00880	Vitvi11g01330
VIT_11s0016g00900	Vitvi11g00066
VIT_11s0016g01230	Vitvi11g00090
VIT_11s0016g01720	Vitvi11g00130
VIT_11s0016g01780	Vitvi11g00137
VIT_11s0016g01990	Vitvi11g00158
VIT_11s0016g02180	Vitvi11g00175
VIT_11s0016g02280	Vitvi11g00186
VIT_11s0016g02380	Vitvi11g00195
VIT_11s0016g02410	Vitvi11g00197
VIT_11s0016g02450	Vitvi11g01377
VIT_11s0016g02560	Vitvi11g00212
VIT_11s0016g02700	Vitvi11g00226
VIT_11s0016g02800	Vitvi11g00231
VIT_11s0016g03200	Vitvi11g00271
VIT_11s0016g03410	Vitvi11g00292
VIT_11s0016g03640	Vitvi11g00309
VIT_11s0016g03690	Vitvi11g00315
VIT_11s0016g03720	Vitvi11g00318
VIT_11s0016g03930	Vitvi11g00338
VIT_11s0016g05060	Vitvi11g00447
VIT_11s0016g05190	Vitvi11g01435
VIT_11s0016g05360	Vitvi11g00469
VIT_11s0016g05370	Vitvi11g00471
VIT_11s0118g00200	Vitvi11g00542
VIT_11s0149g00130	Vitvi11g00619
VIT_11s0206g00020	Vitvi11g00636
VIT_11s0016g00130	Vitvi11g00672
VIT_11s0037g00250	Vitvi11g00704
VIT_11s0037g00340	Vitvi11g01504
VIT_11s0037g00530	Vitvi11g00726
VIT_11s0037g00930	Vitvi11g00809
VIT_11s0037g00950	Vitvi11g00811
VIT_11s0037g01100	Vitvi11g00824
VIT_11s0065g00100	Vitvi11g00893
VIT_11s0103g00190	Vitvi11g01098
VIT_11s0103g00400	Vitvi11g01117
VIT_11s0103g00420	Vitvi11g01118
VIT_11s0052g00440	Vitvi11g01186
VIT_11s0052g00450	Vitvi11g01188
VIT_11s0052g00540	Vitvi11g01198
VIT_11s0052g00820	Vitvi11g01657
VIT_11s0052g00850	Vitvi11g01232
VIT_11s0052g01090	Vitvi11g01257
VIT_11s0052g01110	Vitvi11g01258
VIT_11s0052g01390	Vitvi11g01273
VIT_11s0052g01400	Vitvi11g01277
VIT_11s0052g01710	Vitvi11g01300
VIT_12s0142g00280	Vitvi12g00022
VIT_12s0142g00220	Vitvi12g00027
VIT_12s0142g00090	Vitvi12g00034
VIT_12s0028g00270	Vitvi12g00048
VIT_12s0028g00630	Vitvi12g00067
VIT_12s0028g00710	Vitvi12g00071
VIT_12s0028g00980	Vitvi12g02204
VIT_12s0028g01110	Vitvi12g00096
VIT_12s0028g01810	Vitvi12g00157
VIT_12s0028g01820	Vitvi12g00158
VIT_12s0028g02140	Vitvi12g02250
VIT_12s0028g02340	Vitvi12g00198
VIT_12s0028g03030	Vitvi12g00252
VIT_12s0028g03200	Vitvi12g00270
