SORBI_3001G000100	Sobic.001G000100	Sb01g000200	-
SORBI_3001G033600	Sobic.001G033600	Sb01g003150	-
SORBI_3001G033701	Sobic.001G033701	Sb01g003160	-
SORBI_3001G034400	Sobic.001G034400	Sb01g003220	-
SORBI_3001G035000	Sobic.001G035000	Sb01g003270	-
SORBI_3001G035100	Sobic.001G035100	Sb01g003280	-
SORBI_3001G035300	Sobic.001G035300	Sb01g003300	-
SORBI_3001G035800	Sobic.001G035800	Sb01g003340	-
SORBI_3001G036200	Sobic.001G036200	Sb01g003370	-
SORBI_3001G036300	Sobic.001G036300	Sb01g003380	-
SORBI_3001G036700	Sobic.001G036700	Sb01g003390	-
SORBI_3001G037800	Sobic.001G037800	Sb01g003470	-
SORBI_3001G037900	Sobic.001G037900	Sb01g003480	-
SORBI_3001G038200	Sobic.001G038200	Sb01g003510	-
SORBI_3001G038300	Sobic.001G038300	Sb01g003520	-
SORBI_3001G038400	Sobic.001G038400	Sb01g003530	-
SORBI_3001G038500	Sobic.001G038500	Sb01g003540	-
SORBI_3001G038900	Sobic.001G038900	Sb01g003580	-
SORBI_3001G039200	Sobic.001G039200	Sb01g003610	-
SORBI_3001G039300	Sobic.001G039300	Sb01g003620	-
SORBI_3001G039700	Sobic.001G039700	Sb01g003660	-
SORBI_3001G039800	Sobic.001G039800	Sb01g003670	-
SORBI_3001G039900	Sobic.001G039900	Sb01g003680	-
SORBI_3001G040500	Sobic.001G040500	Sb01g003740	-
SORBI_3001G040800	Sobic.001G040800	Sb01g003770	-
SORBI_3001G041100	Sobic.001G041100	Sb01g003790	-
SORBI_3001G041300	Sobic.001G041300	Sb01g003810	-
SORBI_3001G041400	Sobic.001G041400	Sb01g003820	-
SORBI_3001G041900	Sobic.001G041900	Sb01g003870	-
SORBI_3001G042200	Sobic.001G042200	Sb01g003900	-
SORBI_3001G042500	Sobic.001G042500	Sb01g003910	-
SORBI_3001G042901	Sobic.001G042901	Sb01g003950	-
SORBI_3001G043200	Sobic.001G043200	Sb01g003980	-
SORBI_3001G043400	Sobic.001G043400	Sb01g004000	-
SORBI_3001G043800	Sobic.001G043800	Sb01g004030	-
SORBI_3001G044100	Sobic.001G044100	Sb01g004060	-
SORBI_3001G044700	Sobic.001G044700	Sb01g004120	-
SORBI_3001G045000	Sobic.001G045000	Sb01g004150	-
SORBI_3001G045100	Sobic.001G045100	Sb01g004160	-
SORBI_3001G045300	Sobic.001G045300	Sb01g004180	-
SORBI_3001G045400	Sobic.001G045400	Sb01g004190	-
SORBI_3001G045800	Sobic.001G045800	Sb01g004220	-
SORBI_3001G045900	Sobic.001G045900	Sb01g004230	-
SORBI_3001G046000	Sobic.001G046000	Sb01g004240	-
SORBI_3001G046400	Sobic.001G046400	Sb01g004270	-
SORBI_3001G047000	Sobic.001G047000	Sb01g004340	-
SORBI_3001G047600	Sobic.001G047600	Sb01g004375	-
SORBI_3001G048000	Sobic.001G048000	Sb01g004410	-
SORBI_3001G048700	Sobic.001G048700	Sb01g004460	-
SORBI_3001G050400	Sobic.001G050400	Sb01g004620	-
SORBI_3001G050600	Sobic.001G050600	Sb01g004640	-
SORBI_3001G051100	Sobic.001G051100	Sb01g004690	-
SORBI_3001G051400	Sobic.001G051400	Sb01g004720	-
SORBI_3001G051700	Sobic.001G051700	Sb01g004750	-
SORBI_3001G052000	Sobic.001G052000	Sb01g004766	-
SORBI_3001G052300	Sobic.001G052300	Sb01g004790	-
SORBI_3001G052500	Sobic.001G052500	Sb01g004810	-
SORBI_3001G053200	Sobic.001G053200	Sb01g004880	-
SORBI_3001G053500	Sobic.001G053500	Sb01g004910	-
SORBI_3001G054100	Sobic.001G054100	Sb01g004960	-
SORBI_3001G054200	Sobic.001G054200	Sb01g004970	-
SORBI_3001G054300	Sobic.001G054300	Sb01g004980	-
SORBI_3001G054600	Sobic.001G054600	Sb01g004990	-
SORBI_3001G055300	Sobic.001G055300	Sb01g005050	-
SORBI_3001G057300	Sobic.001G057300	Sb01g005210	-
SORBI_3001G057400	Sobic.001G057400	Sb01g005220	-
SORBI_3001G057600	Sobic.001G057600	Sb01g005240	-
SORBI_3001G057800	Sobic.001G057800	Sb01g005260	-
SORBI_3001G057900	Sobic.001G057900	Sb01g005270	-
SORBI_3001G058100	Sobic.001G058100	Sb01g005280	-
SORBI_3001G058200	Sobic.001G058200	Sb01g005290	-
SORBI_3001G058300	Sobic.001G058300	Sb01g005300	-
SORBI_3001G058400	Sobic.001G058400	Sb01g005310	-
SORBI_3001G058500	Sobic.001G058500	Sb01g005320	-
SORBI_3001G059300	Sobic.001G059300	Sb01g005390	-
SORBI_3001G059600	Sobic.001G059600	Sb01g005420	-
SORBI_3001G060100	Sobic.001G060100	Sb01g005460	-
SORBI_3001G060900	Sobic.001G060900	Sb01g005530	-
SORBI_3001G061000	Sobic.001G061000	Sb01g005540	-
SORBI_3001G061200	Sobic.001G061200	Sb01g005550	-
SORBI_3001G061900	Sobic.001G061900	Sb01g005610	-
SORBI_3001G062132	Sobic.001G062132	Sb01g005630	-
SORBI_3001G062700	Sobic.001G062700	Sb01g005690	-
SORBI_3001G062800	Sobic.001G062800	Sb01g005700	-
SORBI_3001G063200	Sobic.001G063200	Sb01g005740	-
SORBI_3001G063300	Sobic.001G063300	Sb01g005750	-
SORBI_3001G063500	Sobic.001G063500	Sb01g005770	-
SORBI_3001G063600	Sobic.001G063600	Sb01g005780	-
SORBI_3001G063700	Sobic.001G063700	Sb01g005790	-
SORBI_3001G063800	Sobic.001G063800	Sb01g005800	-
SORBI_3001G064000	Sobic.001G064000	Sb01g005820	-
SORBI_3001G065200	Sobic.001G065200	Sb01g005930	-
SORBI_3001G065500	Sobic.001G065500	Sb01g005950	-
SORBI_3001G066700	Sobic.001G066700	Sb01g006060	-
SORBI_3001G067200	Sobic.001G067200	Sb01g006110	-
SORBI_3001G067800	Sobic.001G067800	Sb01g006170	-
SORBI_3001G068700	Sobic.001G068700	Sb01g006220	-
SORBI_3001G068800	Sobic.001G068800	Sb01g006230	-
SORBI_3001G069500	Sobic.001G069500	Sb01g006280	-
SORBI_3001G069700	Sobic.001G069700	Sb01g006300	-
SORBI_3001G070100	Sobic.001G070100	Sb01g006340	-
SORBI_3001G070800	Sobic.001G070800	Sb01g006390	-
SORBI_3001G070900	Sobic.001G070900	Sb01g006400	-
SORBI_3001G071000	Sobic.001G071000	Sb01g006410	-
SORBI_3001G071300	Sobic.001G071300	Sb01g006430	-
SORBI_3001G071500	Sobic.001G071500	Sb01g006450	-
SORBI_3001G071600	Sobic.001G071600	Sb01g006460	-
SORBI_3001G072100	Sobic.001G072100	Sb01g006500	-
SORBI_3001G072300	Sobic.001G072300	Sb01g006510	-
SORBI_3001G072600	Sobic.001G072600	Sb01g006530	-
SORBI_3001G072800	Sobic.001G072800	Sb01g006550	-
SORBI_3001G073300	Sobic.001G073300	Sb01g006610	-
SORBI_3001G073500	Sobic.001G073500	Sb01g006630	-
SORBI_3001G073800	Sobic.001G073800	Sb01g006670	-
SORBI_3001G074000	Sobic.001G074000	Sb01g006690	-
SORBI_3001G074400	Sobic.001G074400	Sb01g006730	-
SORBI_3001G074601	Sobic.001G074601	Sb01g006740	-
SORBI_3001G075400	Sobic.001G075400	Sb01g006810	-
SORBI_3001G075600	Sobic.001G075600	Sb01g006820	-
SORBI_3001G076100	Sobic.001G076100	Sb01g006870	-
SORBI_3001G076200	Sobic.001G076200	Sb01g006880	-
SORBI_3001G076300	Sobic.001G076300	Sb01g006890	-
SORBI_3001G076400	Sobic.001G076400	Sb01g006900	-
SORBI_3001G076600	Sobic.001G076600	Sb01g006920	-
SORBI_3001G077100	Sobic.001G077100	Sb01g006970	-
SORBI_3001G078000	Sobic.001G078000	Sb01g007050	-
SORBI_3001G078100	Sobic.001G078100	Sb01g007060	-
SORBI_3001G078200	Sobic.001G078200	Sb01g007070	-
SORBI_3001G079300	Sobic.001G079300	Sb01g007160	-
SORBI_3001G079600	Sobic.001G079600	Sb01g007180	-
SORBI_3001G080200	Sobic.001G080200	Sb01g007230	-
SORBI_3001G080600	Sobic.001G080600	Sb01g007260	-
SORBI_3001G080700	Sobic.001G080700	Sb01g007270	-
SORBI_3001G080800	Sobic.001G080800	Sb01g007280	-
SORBI_3001G080900	Sobic.001G080900	Sb01g007290	-
SORBI_3001G081000	Sobic.001G081000	Sb01g007300	-
SORBI_3001G081200	Sobic.001G081200	Sb01g013980	-
SORBI_3001G081300	Sobic.001G081300	Sb01g013990	-
SORBI_3001G081700	Sobic.001G081700	Sb01g007350	-
SORBI_3001G082600	Sobic.001G082600	Sb01g007440	-
SORBI_3001G082900	Sobic.001G082900	Sb01g007470	-
SORBI_3001G083400	Sobic.001G083400	Sb01g007520	-
SORBI_3001G083500	Sobic.001G083500	Sb01g007530	-
SORBI_3001G085100	Sobic.001G085100	Sb01g007660	-
SORBI_3001G086700	Sobic.001G086700	Sb01g007810	-
SORBI_3001G086900	Sobic.001G086900	Sb01g007830	-
SORBI_3001G087400	Sobic.001G087400	Sb01g007870	-
SORBI_3001G087700	Sobic.001G087700	Sb01g007880	-
SORBI_3001G088500	Sobic.001G088500	Sb01g007980	-
SORBI_3001G088800	Sobic.001G088800	Sb01g008010	-
SORBI_3001G090000	Sobic.001G090000	Sb01g008120	-
SORBI_3001G090700	Sobic.001G090700	Sb01g008190	-
SORBI_3001G090800	Sobic.001G090800	Sb01g008195	-
SORBI_3001G091400	Sobic.001G091400	Sb01g008230	-
SORBI_3001G091500	Sobic.001G091500	Sb01g008240	-
SORBI_3001G091600	Sobic.001G091600	Sb01g008250	-
SORBI_3001G092500	Sobic.001G092500	Sb01g008340	-
SORBI_3001G092600	Sobic.001G092600	Sb01g008350	-
SORBI_3001G093300	Sobic.001G093300	Sb01g008390	-
SORBI_3001G093500	Sobic.001G093500	Sb01g008400	-
SORBI_3001G094900	Sobic.001G094900	Sb01g008490	-
SORBI_3001G095100	Sobic.001G095100	Sb01g008510	-
SORBI_3001G095800	Sobic.001G095800	Sb01g008590	-
SORBI_3001G096100	Sobic.001G096100	Sb01g008610	-
SORBI_3001G096700	Sobic.001G096700	Sb01g008655	-
SORBI_3001G096800	Sobic.001G096800	Sb01g008660	-
SORBI_3001G099000	Sobic.001G099000	Sb01g008850	-
SORBI_3001G099200	Sobic.001G099200	Sb01g008870	-
SORBI_3001G099300	Sobic.001G099300	Sb01g008880	-
SORBI_3001G100200	Sobic.001G100200	Sb01g008960	-
SORBI_3001G100501	Sobic.001G100501	Sb01g008980	-
SORBI_3001G100600	Sobic.001G100600	Sb01g008990	-
SORBI_3001G100700	Sobic.001G100700	Sb01g009000	-
SORBI_3001G101200	Sobic.001G101200	Sb01g009040	-
SORBI_3001G101300	Sobic.001G101300	Sb01g009050	-
SORBI_3001G101400	Sobic.001G101400	Sb01g009060	-
SORBI_3001G101900	Sobic.001G101900	Sb01g009100	-
SORBI_3001G102200	Sobic.001G102200	Sb01g009120	-
SORBI_3001G102400	Sobic.001G102400	Sb01g009135	-
SORBI_3001G102600	Sobic.001G102600	Sb01g009150	-
SORBI_3001G102800	Sobic.001G102800	Sb01g009180	-
SORBI_3001G103000	Sobic.001G103000	Sb01g009200	-
SORBI_3001G103100	Sobic.001G103100	Sb01g009210	-
SORBI_3001G103200	Sobic.001G103200	Sb01g009220	-
SORBI_3001G103400	Sobic.001G103400	Sb01g009230	-
SORBI_3001G103900	Sobic.001G103900	Sb01g009280	-
SORBI_3001G104000	Sobic.001G104000	Sb01g009290	-
SORBI_3001G104400	Sobic.001G104400	Sb01g009320	-
SORBI_3001G104600	Sobic.001G104600	Sb01g009340	-
SORBI_3001G104700	Sobic.001G104700	Sb01g009350	-
SORBI_3001G104900	Sobic.001G104900	Sb01g009370	-
SORBI_3001G105000	Sobic.001G105000	Sb01g009380	-
SORBI_3001G105400	Sobic.001G105400	Sb01g009420	-
SORBI_3001G105800	Sobic.001G105800	Sb01g009440	-
SORBI_3001G106100	Sobic.001G106100	Sb01g009470	-
SORBI_3001G106400	Sobic.001G106400	Sb01g009500	-
SORBI_3001G106600	Sobic.001G106600	Sb01g009520	-
SORBI_3001G106700	Sobic.001G106700	Sb01g009530	-
SORBI_3001G106800	Sobic.001G106800	Sb01g009540	-
SORBI_3001G107400	Sobic.001G107400	Sb01g009590	-
SORBI_3001G107500	Sobic.001G107500	Sb01g009600	-
SORBI_3001G107800	Sobic.001G107800	Sb01g009620	-
SORBI_3001G108200	Sobic.001G108200	Sb01g009660	-
SORBI_3001G108400	Sobic.001G108400	Sb01g009670	-
SORBI_3001G108800	Sobic.001G108800	Sb01g009700	-
SORBI_3001G108900	Sobic.001G108900	Sb01g009710	-
SORBI_3001G109900	Sobic.001G109900	Sb01g009810	-
SORBI_3001G110300	Sobic.001G110300	Sb01g009840	-
SORBI_3001G110900	Sobic.001G110900	Sb01g009870	-
SORBI_3001G111300	Sobic.001G111300	Sb01g009910	-
SORBI_3001G111700	Sobic.001G111700	Sb01g009950	-
SORBI_3001G112200	Sobic.001G112200	Sb01g009990	-
SORBI_3001G112900	Sobic.001G112900	Sb01g010050	-
SORBI_3001G113000	Sobic.001G113000	Sb01g010060	-
SORBI_3001G113400	Sobic.001G113400	Sb01g010080	-
SORBI_3001G114000	Sobic.001G114000	Sb01g010130	-
SORBI_3001G114500	Sobic.001G114500	Sb01g010150	-
SORBI_3001G114650	Sobic.001G114650	Sb01g010160	-
SORBI_3001G115400	Sobic.001G115400	Sb01g010180	-
SORBI_3001G115500	Sobic.001G115500	Sb01g010190	-
SORBI_3001G115600	Sobic.001G115600	Sb01g010200	-
SORBI_3001G115900	Sobic.001G115900	Sb01g010230	-
SORBI_3001G116200	Sobic.001G116200	Sb01g010260	-
SORBI_3001G116900	Sobic.001G116900	Sb01g010320	-
SORBI_3001G117300	Sobic.001G117300	Sb01g010350	-
SORBI_3001G118300	Sobic.001G118300	Sb01g010440	-
SORBI_3001G118400	Sobic.001G118400	Sb01g010450	-
SORBI_3001G118900	Sobic.001G118900	Sb01g010490	-
SORBI_3001G119700	Sobic.001G119700	Sb01g010570	-
SORBI_3001G120100	Sobic.001G120100	Sb01g010610	-
SORBI_3001G122100	Sobic.001G122100	Sb01g010730	-
SORBI_3001G122300	Sobic.001G122300	Sb01g010750	-
SORBI_3001G122500	Sobic.001G122500	Sb01g010770	-
SORBI_3001G122600	Sobic.001G122600	Sb01g010780	-
SORBI_3001G122900	Sobic.001G122900	Sb01g010810	-
SORBI_3001G123400	Sobic.001G123400	Sb01g010850	-
SORBI_3001G123600	Sobic.001G123600	Sb01g010870	-
SORBI_3001G123700	Sobic.001G123700	Sb01g010880	-
SORBI_3001G123900	Sobic.001G123900	Sb01g010900	-
SORBI_3001G124000	Sobic.001G124000	Sb01g010910	-
SORBI_3001G124300	Sobic.001G124300	Sb01g010940	-
SORBI_3001G124400	Sobic.001G124400	Sb01g010950	-
SORBI_3001G127600	Sobic.001G127600	Sb01g011180	-
SORBI_3001G128000	Sobic.001G128000	Sb01g011225	-
SORBI_3001G128200	Sobic.001G128200	Sb01g011240	-
SORBI_3001G128500	Sobic.001G128500	Sb01g011270	-
SORBI_3001G129300	Sobic.001G129300	Sb01g011330	-
SORBI_3001G129500	Sobic.001G129500	Sb01g011350	-
SORBI_3001G129700	Sobic.001G129700	Sb01g011370	-
SORBI_3001G129750	Sobic.001G129750	Sb01g011380	-
SORBI_3001G130000	Sobic.001G130000	Sb01g011400	-
SORBI_3001G130100	Sobic.001G130100	Sb01g011410	-
SORBI_3001G131800	Sobic.001G131800	Sb01g011550	-
SORBI_3001G131900	Sobic.001G131900	Sb01g011560	-
SORBI_3001G132300	Sobic.001G132300	Sb01g011600	-
SORBI_3001G132600	Sobic.001G132600	Sb01g011620	-
SORBI_3001G132900	Sobic.001G132900	Sb01g011640	-
SORBI_3001G133000	Sobic.001G133000	Sb01g011650	-
SORBI_3001G134200	Sobic.001G134200	Sb01g011720	-
SORBI_3001G134900	Sobic.001G134900	Sb01g011790	-
SORBI_3001G135900	Sobic.001G135900	Sb01g011860	-
SORBI_3001G136400	Sobic.001G136400	Sb01g011900	-
SORBI_3001G136500	Sobic.001G136500	Sb01g011910	-
SORBI_3001G137000	Sobic.001G137000	Sb01g011950	-
SORBI_3001G137600	Sobic.001G137600	Sb01g012020	-
SORBI_3001G138300	Sobic.001G138300	Sb01g012070	-
SORBI_3001G138500	Sobic.001G138500	Sb01g012090	-
SORBI_3001G138600	Sobic.001G138600	Sb01g012100	-
SORBI_3001G138800	Sobic.001G138800	Sb01g012110	-
SORBI_3001G139300	Sobic.001G139300	Sb01g012150	-
SORBI_3001G139700	Sobic.001G139700	Sb01g012160	-
SORBI_3001G140300	Sobic.001G140300	Sb01g012210	-
SORBI_3001G140400	Sobic.001G140400	Sb01g012220	-
SORBI_3001G140600	Sobic.001G140600	Sb01g012230	-
SORBI_3001G140900	Sobic.001G140900	Sb01g012260	-
SORBI_3001G141400	Sobic.001G141400	Sb01g012310	-
SORBI_3001G141600	Sobic.001G141600	Sb01g012320	-
SORBI_3001G142200	Sobic.001G142200	Sb01g012380	-
SORBI_3001G143000	Sobic.001G143000	Sb01g012450	-
SORBI_3001G143200	Sobic.001G143200	Sb01g012470	-
SORBI_3001G143400	Sobic.001G143400	Sb01g012490	-
SORBI_3001G143500	Sobic.001G143500	Sb01g012500	-
SORBI_3001G144100	Sobic.001G144100	Sb01g012560	-
SORBI_3001G144300	Sobic.001G144300	Sb01g012580	-
SORBI_3001G144700	Sobic.001G144700	Sb01g012620	-
SORBI_3001G144800	Sobic.001G144800	Sb01g012630	-
SORBI_3001G145200	Sobic.001G145200	Sb01g012670	-
SORBI_3001G145400	Sobic.001G145400	Sb01g012680	-
SORBI_3001G145900	Sobic.001G145900	Sb01g012730	-
SORBI_3001G146100	Sobic.001G146100	Sb01g012760	-
SORBI_3001G146800	Sobic.001G146800	Sb01g012790	-
SORBI_3001G146900	Sobic.001G146900	Sb01g012800	-
SORBI_3001G147200	Sobic.001G147200	Sb01g012830	-
SORBI_3001G147300	Sobic.001G147300	Sb01g012840	-
SORBI_3001G148800	Sobic.001G148800	Sb01g012950	-
SORBI_3001G149300	Sobic.001G149300	Sb01g012980	-
SORBI_3001G149400	Sobic.001G149400	Sb01g012990	-
SORBI_3001G149700	Sobic.001G149700	Sb01g013020	-
SORBI_3001G149800	Sobic.001G149800	Sb01g013030	-
SORBI_3001G150300	Sobic.001G150300	Sb01g013070	-
SORBI_3001G150800	Sobic.001G150800	Sb01g013090	-
SORBI_3001G151200	Sobic.001G151200	Sb01g013120	-
SORBI_3001G151500	Sobic.001G151500	Sb01g013160	-
SORBI_3001G151600	Sobic.001G151600	Sb01g013170	-
SORBI_3001G151700	Sobic.001G151700	Sb01g013180	-
SORBI_3001G151900	Sobic.001G151900	Sb01g013200	-
SORBI_3001G152000	Sobic.001G152000	Sb01g013210	-
SORBI_3001G152100	Sobic.001G152100	Sb01g013215	-
SORBI_3001G152200	Sobic.001G152200	Sb01g013220	-
SORBI_3001G153700	Sobic.001G153700	Sb01g013350	-
SORBI_3001G153900	Sobic.001G153900	Sb01g013370	-
SORBI_3001G154200	Sobic.001G154200	Sb01g013400	-
SORBI_3001G154400	Sobic.001G154400	Sb01g013420	-
SORBI_3001G155600	Sobic.001G155600	Sb01g013550	-
SORBI_3001G155700	Sobic.001G155700	Sb01g013560	-
SORBI_3001G155900	Sobic.001G155900	Sb01g013580	-
SORBI_3001G156000	Sobic.001G156000	Sb01g013590	-
SORBI_3001G156200	Sobic.001G156200	Sb01g013610	-
SORBI_3001G157500	Sobic.001G157500	Sb01g013720	-
SORBI_3001G157800	Sobic.001G157800	Sb01g013750	-
SORBI_3001G159100	Sobic.001G159100	Sb01g013850	-
SORBI_3001G159400	Sobic.001G159400	Sb01g013890	-
SORBI_3001G159500	Sobic.001G159500	Sb01g013900	-
SORBI_3001G159800	Sobic.001G159800	Sb01g013930	-
SORBI_3001G159900	Sobic.001G159900	Sb01g013940	-
SORBI_3001G160100	Sobic.001G160100	Sb01g013960	-
SORBI_3001G160200	Sobic.001G160200	Sb01g014000	-
SORBI_3001G161400	Sobic.001G161400	Sb01g014110	-
SORBI_3001G161700	Sobic.001G161700	Sb01g014140	-
SORBI_3001G162900	Sobic.001G162900	Sb01g014250	-
SORBI_3001G163300	Sobic.001G163300	Sb01g014280	-
SORBI_3001G163800	Sobic.001G163800	Sb01g014310	-
SORBI_3001G164700	Sobic.001G164700	Sb01g014360	-
SORBI_3001G165600	Sobic.001G165600	Sb01g014470	-
SORBI_3001G165700	Sobic.001G165700	Sb01g014480	-
SORBI_3001G166000	Sobic.001G166000	Sb01g014500	-
SORBI_3001G166300	Sobic.001G166300	Sb01g014540	-
SORBI_3001G166401	Sobic.001G166401	Sb01g014550	-
SORBI_3001G166500	Sobic.001G166500	Sb01g014560	-
SORBI_3001G166700	Sobic.001G166700	Sb01g014580	-
SORBI_3001G168800	Sobic.001G168800	Sb01g014760	-
SORBI_3001G169700	Sobic.001G169700	Sb01g014840	-
SORBI_3001G169900	Sobic.001G169900	Sb01g014860	-
SORBI_3001G170100	Sobic.001G170100	Sb01g014880	-
SORBI_3001G170900	Sobic.001G170900	Sb01g014950	-
SORBI_3001G171100	Sobic.001G171100	Sb01g014960	-
SORBI_3001G171300	Sobic.001G171300	Sb01g014970	-
SORBI_3001G172000	Sobic.001G172000	Sb01g015010	-
SORBI_3001G173700	Sobic.001G173700	Sb01g015140	-
SORBI_3001G173800	Sobic.001G173800	Sb01g015150	-
SORBI_3001G173900	Sobic.001G173900	Sb01g015160	-
SORBI_3001G174100	Sobic.001G174100	Sb01g015165	-
SORBI_3001G174200	Sobic.001G174200	Sb01g015170	-
SORBI_3001G174500	Sobic.001G174500	Sb01g015180	-
SORBI_3001G174900	Sobic.001G174900	Sb01g015200	-
SORBI_3001G175200	Sobic.001G175200	Sb01g015230	-
SORBI_3001G175500	Sobic.001G175500	Sb01g015250	-
SORBI_3001G176800	Sobic.001G176800	Sb01g015380	-
