VIT_01s0011g00230	Vitvi01g00024	Vitis01g00019
VIT_02s0033g00630	Vitvi02g01602	-
VIT_02s0033g00660	Vitvi02g01607	Vitis02g01308
VIT_02s0033g00670	Vitvi02g01609	Vitis02g01309
VIT_02s0033g00700	Vitvi02g01067	Vitis02g01310
VIT_02s0033g00770	Vitvi02g01613	Vitis02g01329
VIT_02s0033g00790	Vitvi02g01614	Vitis02g01332
VIT_02s0033g00800	Vitvi02g01615	Vitis02g01331
VIT_02s0033g00850	Vitvi02g01618	Vitis02g01338
VIT_02s0033g00870	Vitvi02g01621	Vitis02g01339
VIT_02s0087g00710	Vitvi02g01269	Vitis02g01492
VIT_03s0038g00300	Vitvi03g00023	Vitis03g00017
VIT_03s0038g00310	Vitvi03g00024	-
VIT_03s0038g00340	Vitvi03g00026	Vitis03g00021
VIT_03s0038g00450	Vitvi03g00034	Vitis03g00029
VIT_03s0038g00500	Vitvi03g00038	Vitis03g00033
VIT_03s0038g00550	Vitvi03g00040	Vitis03g00036
VIT_03s0038g00760	Vitvi03g00054	Vitis03g00056
VIT_03s0038g00820	Vitvi03g00057	Vitis03g00059
VIT_03s0038g01440	Vitvi03g00085	Vitis03g00124
VIT_03s0038g01780	Vitvi03g00097	Vitis03g00155
VIT_03s0038g02370	Vitvi03g04064	Vitis03g00216
VIT_03s0038g02380	Vitvi03g00143	Vitis03g00217
VIT_03s0038g02510	Vitvi03g00154	Vitis03g00230
VIT_03s0038g02520	Vitvi03g00155	Vitis03g00231
VIT_03s0038g02540	Vitvi03g00157	Vitis03g00233
VIT_03s0038g02920	Vitvi03g00185	Vitis03g00267
VIT_03s0038g03120	Vitvi03g00197	Vitis03g00284
VIT_03s0038g03230	Vitvi03g00200	Vitis03g00298
VIT_03s0038g03250	Vitvi03g00203	Vitis03g00301
VIT_03s0038g03270	Vitvi03g00205	Vitis03g00305
VIT_03s0038g04010	Vitvi03g00254	Vitis03g00368
VIT_03s0038g04100	Vitvi03g00262	Vitis03g00378
VIT_03s0038g04120	Vitvi03g00264	Vitis03g00380
VIT_03s0038g04240	Vitvi03g00273	Vitis03g00393
VIT_03s0038g04370	Vitvi03g00287	Vitis03g00403
VIT_03s0038g04500	Vitvi03g04109	Vitis03g00416
VIT_03s0038g04570	Vitvi03g00304	Vitis03g00423
VIT_03s0063g02650	Vitvi03g00321	Vitis03g00446
VIT_03s0063g02480	Vitvi03g00343	Vitis03g00461
VIT_03s0063g02080	Vitvi03g00370	Vitis03g00499
VIT_03s0063g01110	Vitvi03g01544	Vitis03g00606
VIT_03s0063g01080	Vitvi03g00452	Vitis03g00609
VIT_03s0063g00390	Vitvi03g00505	Vitis03g00667
VIT_03s0180g00040	Vitvi03g00542	Vitis03g00708
VIT_03s0180g00250	Vitvi03g00561	Vitis03g00732
VIT_03s0180g00260	Vitvi03g00564	Vitis03g00731
VIT_03s0091g00460	Vitvi03g00602	-
VIT_03s0088g01040	Vitvi03g00773	Vitis03g01011
VIT_03s0088g01250	Vitvi03g00792	Vitis03g01031
VIT_03s0132g00200	Vitvi03g00895	Vitis03g01171
VIT_03s0038g00370	Vitvi03g00996	-
VIT_03s0017g00270	Vitvi03g01047	Vitis03g01339
VIT_03s0017g00550	Vitvi03g01080	Vitis03g01376
VIT_03s0017g00650	Vitvi03g01092	Vitis03g01387
VIT_03s0017g00980	Vitvi03g01138	Vitis03g01444
VIT_03s0017g01330	Vitvi03g01188	Vitis03g01495
VIT_03s0017g01670	Vitvi03g04482	-
VIT_03s0017g01700	Vitvi03g01231	Vitis03g01550
VIT_03s0017g01980	Vitvi03g01259	Vitis03g01574
VIT_04s0008g00900	Vitvi04g00076	Vitis04g00088
VIT_04s0008g01100	Vitvi04g00091	Vitis04g00108
VIT_04s0008g01300	Vitvi04g00112	Vitis04g00127
VIT_04s0008g01420	Vitvi04g00127	Vitis04g00139
VIT_04s0008g02570	Vitvi04g00223	Vitis04g00256
VIT_04s0008g02780	Vitvi04g00243	Vitis04g00279
VIT_04s0008g02830	Vitvi04g00249	Vitis04g00285
VIT_04s0008g03050	Vitvi04g00267	Vitis04g00309
VIT_04s0008g03380	Vitvi04g00298	Vitis04g00342
VIT_04s0008g03610	Vitvi04g00314	Vitis04g00363
VIT_04s0008g03770	Vitvi04g00328	Vitis04g00378
VIT_04s0008g03920	Vitvi04g00340	Vitis04g00395
VIT_04s0008g04180	Vitvi04g00359	-
VIT_04s0008g04870	Vitvi04g00430	Vitis04g00499
VIT_04s0008g05210	Vitvi04g00464	Vitis04g00539
VIT_04s0008g05300	Vitvi04g00471	Vitis04g00547
VIT_04s0008g05450	Vitvi04g00480	Vitis04g00563
VIT_04s0008g05730	Vitvi04g00508	Vitis04g00593
VIT_04s0008g05750	Vitvi04g00510	Vitis04g00595
VIT_04s0008g05760	Vitvi04g00511	Vitis04g00596
VIT_04s0008g05990	Vitvi04g01914	Vitis04g00630
VIT_04s0008g06040	Vitvi04g00537	Vitis04g00634
VIT_04s0008g06330	Vitvi04g00567	Vitis04g00670
VIT_04s0008g06390	Vitvi04g00573	-
VIT_04s0008g06480	Vitvi04g00581	Vitis04g00676
VIT_04s0008g06570	Vitvi04g00594	Vitis04g00685
VIT_04s0008g06780	Vitvi04g00610	Vitis04g00703
VIT_04s0069g00920	Vitvi04g00756	Vitis04g00862
VIT_04s0069g01060	Vitvi04g00769	-
VIT_04s0079g00200	Vitvi04g00824	Vitis04g00940
VIT_04s0079g00230	Vitvi04g00831	Vitis04g00958
VIT_04s0079g00680	Vitvi04g02011	Vitis04g01013
VIT_04s0079g00760	Vitvi04g04247	Vitis04g01021
VIT_04s0043g00900	Vitvi04g01056	Vitis04g01185
VIT_04s0043g00930	Vitvi04g01061	Vitis04g01187
VIT_04s0043g01010	Vitvi04g01082	Vitis04g01205
VIT_04s0023g00110	Vitvi04g01124	Vitis04g01251
VIT_04s0023g00320	Vitvi04g01151	Vitis04g01280
VIT_04s0023g00450	Vitvi04g01162	Vitis04g01289
VIT_04s0023g00600	Vitvi04g01175	Vitis04g01318
VIT_04s0023g01220	Vitvi04g01231	Vitis04g01378
VIT_04s0023g01250	Vitvi04g01234	Vitis04g01381
VIT_04s0023g01330	Vitvi04g01244	Vitis04g01393
VIT_04s0023g01650	Vitvi04g01280	Vitis04g01425
VIT_04s0023g01850	Vitvi04g01300	Vitis04g01440
VIT_04s0023g02400	Vitvi04g01360	-
VIT_04s0023g02780	Vitvi04g01399	Vitis04g01552
VIT_04s0023g02810	Vitvi04g01402	Vitis04g01556
VIT_04s0023g02900	Vitvi04g01412	Vitis04g01569
VIT_04s0023g03100	Vitvi04g01429	Vitis04g01585
VIT_04s0023g03170	Vitvi04g02147	Vitis04g01591
VIT_04s0023g03590	Vitvi04g02159	Vitis04g01631
VIT_04s0023g03600	Vitvi04g02160	Vitis04g01632
VIT_04s0023g03820	Vitvi04g01492	Vitis04g01651
VIT_04s0023g03860	Vitvi04g01498	Vitis04g01655
VIT_00s0264g00030	Vitvi04g01535	Vitis04g01682
VIT_00s0264g00100	Vitvi04g01530	Vitis04g01689
VIT_00s0759g00010	Vitvi04g02288	Vitis04g01713
VIT_04s0210g00030	Vitvi04g04438	Vitis04g01743
VIT_04s0210g00050	Vitvi04g01550	Vitis04g01745
VIT_04s0210g00120	Vitvi04g04439	-
VIT_04s0210g00130	Vitvi04g02198	Vitis04g01751
VIT_04s0210g00180	Vitvi04g01557	Vitis04g01756
VIT_04s0210g00190	Vitvi04g01558	Vitis04g01758
VIT_04s0044g00550	Vitvi04g01611	Vitis04g01832
VIT_04s0044g00710	Vitvi04g01633	-
VIT_04s0044g01490	Vitvi04g01711	Vitis04g01955
VIT_04s0044g01740	Vitvi04g01740	-
VIT_04s0044g01850	Vitvi04g01746	Vitis04g01997
VIT_04s0044g01860	Vitvi04g01747	Vitis04g01998
VIT_05s0077g02040	Vitvi05g00035	Vitis05g00035
VIT_05s0077g01930	Vitvi05g00045	Vitis05g00047
VIT_05s0077g00940	Vitvi05g00130	Vitis05g00154
VIT_05s0077g00690	Vitvi05g00149	Vitis05g00177
VIT_05s0077g00120	Vitvi05g01808	Vitis05g00222
VIT_05s0020g00380	Vitvi05g00207	Vitis05g00293
VIT_05s0020g00670	Vitvi05g00242	Vitis05g00328
VIT_05s0020g01070	Vitvi05g00271	Vitis05g00362
VIT_05s0020g01100	Vitvi05g00275	Vitis05g00365
VIT_05s0020g01530	Vitvi05g00321	Vitis05g00409
VIT_05s0020g02030	Vitvi05g00364	-
VIT_05s0020g02130	Vitvi05g00372	Vitis05g00467
VIT_05s0020g02480	Vitvi05g00403	Vitis05g00506
VIT_05s0020g02840	Vitvi05g01878	Vitis05g00541
VIT_05s0020g02880	Vitvi05g00442	Vitis05g00545
VIT_05s0020g03260	Vitvi05g00481	Vitis05g00584
VIT_05s0020g03280	Vitvi05g00483	Vitis05g00588
VIT_05s0020g03430	Vitvi05g00497	Vitis05g00601
VIT_05s0020g03860	Vitvi05g00539	Vitis05g00646
VIT_05s0020g04430	Vitvi05g00606	-
VIT_05s0020g04510	Vitvi05g00614	Vitis05g00717
VIT_05s0020g04690	Vitvi05g00630	Vitis05g00739
VIT_05s0020g04900	Vitvi05g00654	Vitis05g00761
VIT_05s0049g00090	Vitvi05g00684	Vitis05g00792
VIT_05s0049g00500	Vitvi05g01723	Vitis05g00829
VIT_05s0049g00510	Vitvi05g00715	Vitis05g00830
VIT_05s0049g00920	Vitvi05g00733	Vitis05g00854
VIT_05s0049g00930	Vitvi05g00734	Vitis05g00854
VIT_05s0049g00940	Vitvi05g01956	Vitis05g00855
VIT_05s0049g00960	Vitvi05g00737	Vitis05g00857
VIT_05s0049g01520	Vitvi05g00800	Vitis05g00919
VIT_05s0049g01970	Vitvi05g00838	Vitis05g00960
VIT_05s0049g01980	Vitvi05g00839	Vitis05g00961
VIT_05s0049g02130	Vitvi05g01990	-
VIT_05s0051g00830	Vitvi05g00975	Vitis05g01127
VIT_05s0051g00870	Vitvi05g00979	Vitis05g01136
VIT_05s0051g00930	Vitvi05g00990	Vitis05g01144
VIT_05s0029g00040	Vitvi05g01061	Vitis05g01243
VIT_05s0029g00420	Vitvi05g01108	Vitis05g01295
VIT_05s0029g01140	Vitvi05g01193	Vitis05g01440
VIT_05s0124g00390	Vitvi05g01408	-
VIT_05s0102g00090	Vitvi05g01467	Vitis05g01842
VIT_05s0102g00120	Vitvi05g01469	Vitis05g01844
VIT_05s0102g00230	Vitvi05g01482	Vitis05g01854
VIT_05s0102g00270	Vitvi05g01488	Vitis05g01860
VIT_05s0102g00880	Vitvi05g01524	Vitis05g01929
VIT_05s0094g00780	Vitvi05g01624	Vitis05g02045
VIT_05s0094g00900	Vitvi05g01634	Vitis05g02057
VIT_05s0094g01110	Vitvi05g01660	Vitis05g02080
VIT_05s0094g01410	Vitvi05g01686	Vitis05g02107
VIT_05s0094g01480	Vitvi05g01692	Vitis05g02115
VIT_05s0094g01490	Vitvi05g01693	Vitis05g02117
VIT_06s0004g00020	Vitvi06g00007	Vitis06g00012
VIT_06s0004g00190	Vitvi06g00028	Vitis06g00036
VIT_06s0004g00830	Vitvi06g00085	Vitis06g00095
VIT_06s0004g01160	Vitvi06g00110	Vitis06g00132
VIT_06s0004g01250	Vitvi06g00119	Vitis06g00153
VIT_06s0004g02030	Vitvi06g00205	Vitis06g00254
VIT_06s0004g02060	Vitvi06g00210	-
VIT_06s0004g02100	Vitvi06g00213	Vitis06g00261
VIT_06s0004g02140	Vitvi06g00216	Vitis06g00264
VIT_06s0004g02590	Vitvi06g00250	Vitis06g00320
VIT_06s0004g02620	Vitvi06g04091	Vitis06g00326
VIT_06s0004g02750	Vitvi06g00272	Vitis06g00338
VIT_06s0004g02900	Vitvi06g00286	Vitis06g00351
VIT_06s0004g02960	Vitvi06g00293	Vitis06g00357
VIT_06s0004g03070	Vitvi06g00304	-
VIT_06s0004g03140	Vitvi06g00312	Vitis06g00379
VIT_06s0004g03340	Vitvi06g00337	Vitis06g00410
VIT_06s0004g03430	Vitvi06g00346	Vitis06g00419
VIT_06s0004g03540	Vitvi06g00356	Vitis06g00431
VIT_06s0004g03590	Vitvi06g00360	Vitis06g00434
VIT_06s0004g03790	Vitvi06g00381	-
VIT_06s0004g04080	Vitvi06g00407	Vitis06g00489
VIT_06s0004g04390	Vitvi06g00435	Vitis06g00520
VIT_06s0004g04530	Vitvi06g00450	Vitis06g00535
VIT_06s0004g04810	Vitvi06g00473	Vitis06g00564
VIT_06s0004g05470	Vitvi06g00534	Vitis06g00645
VIT_06s0004g05780	Vitvi06g00562	Vitis06g00669
VIT_06s0004g05920	Vitvi06g00576	Vitis06g00683
VIT_06s0004g05930	Vitvi06g01736	-
VIT_06s0004g06300	Vitvi06g00614	Vitis06g00732
VIT_06s0004g06320	Vitvi06g00617	Vitis06g00735
VIT_06s0004g06700	Vitvi06g00652	-
VIT_06s0004g06720	Vitvi06g00654	Vitis06g00775
VIT_06s0004g06730	Vitvi06g00656	Vitis06g00776
VIT_06s0004g06830	Vitvi06g00666	Vitis06g00785
VIT_06s0004g07660	Vitvi06g00759	Vitis06g00884
VIT_06s0004g07790	Vitvi06g00772	Vitis06g00896
VIT_06s0004g07950	Vitvi06g00787	Vitis06g00914
VIT_06s0004g08150	Vitvi06g00803	Vitis06g00934
VIT_06s0004g08460	Vitvi06g00845	Vitis06g00969
VIT_06s0009g00770	Vitvi06g00956	Vitis06g01106
VIT_06s0009g00850	Vitvi06g00966	Vitis06g01112
VIT_06s0009g00880	Vitvi06g00972	Vitis06g01115
VIT_06s0009g01080	Vitvi06g00995	Vitis06g01155
VIT_06s0009g01460	Vitvi06g01044	-
VIT_06s0009g01780	Vitvi06g01072	Vitis06g01235
VIT_06s0009g02320	Vitvi06g01125	Vitis06g01298
VIT_06s0009g02520	Vitvi06g01147	-
VIT_06s0009g02790	Vitvi06g01172	Vitis06g01361
VIT_06s0009g03120	Vitvi06g01203	Vitis06g01396
VIT_06s0009g03130	Vitvi06g01205	Vitis06g01398
VIT_06s0009g03240	Vitvi06g01217	Vitis06g01408
VIT_06s0009g03740	Vitvi06g01261	Vitis06g01449
VIT_06s0061g00040	Vitvi06g01272	Vitis06g01465
VIT_06s0061g00080	Vitvi06g01276	Vitis06g01469
VIT_06s0061g00690	Vitvi06g01341	Vitis06g01542
VIT_06s0061g00710	Vitvi06g01344	Vitis06g01547
VIT_06s0061g00750	Vitvi06g01349	Vitis06g01551
VIT_06s0061g01120	Vitvi06g01389	Vitis06g01598
VIT_06s0080g00360	Vitvi06g01480	Vitis06g01709
VIT_06s0080g00560	Vitvi06g01502	Vitis06g01727
VIT_06s0080g01110	Vitvi06g01552	Vitis06g01783
VIT_07s0141g00390	Vitvi07g00037	Vitis07g00037
VIT_07s0141g00290	Vitvi07g00042	Vitis07g00042
VIT_07s0141g00210	Vitvi07g00047	Vitis07g00048
VIT_00s0179g00330	Vitvi07g00063	Vitis07g00067
VIT_00s0179g00300	Vitvi07g00066	Vitis07g00070
VIT_07s0151g01040	Vitvi07g00127	Vitis07g00158
VIT_07s0151g01070	Vitvi07g00130	-
VIT_07s0104g00320	Vitvi07g00160	Vitis07g00193
VIT_07s0104g00610	Vitvi07g00187	Vitis07g00224
VIT_07s0104g00800	Vitvi07g00203	Vitis07g00240
VIT_07s0104g00930	Vitvi07g00217	Vitis07g00251
VIT_07s0104g01030	Vitvi07g00223	Vitis07g00258
VIT_07s0104g01230	Vitvi07g00238	Vitis07g00275
VIT_07s0104g01320	Vitvi07g00248	Vitis07g00281
VIT_07s0104g01360	Vitvi07g00252	Vitis07g00285
VIT_07s0005g00150	Vitvi07g00299	Vitis07g00340
VIT_07s0005g00750	Vitvi07g00353	Vitis07g00404
VIT_07s0005g00880	Vitvi07g00362	Vitis07g00419
VIT_07s0005g01030	Vitvi07g00376	Vitis07g00434
VIT_07s0005g01280	Vitvi07g00399	Vitis07g00463
VIT_07s0005g01430	Vitvi07g00411	-
VIT_07s0005g02230	Vitvi07g02247	Vitis07g00569
VIT_07s0005g02470	Vitvi07g00513	-
VIT_07s0005g02480	Vitvi07g00515	Vitis07g00598
VIT_07s0005g02550	Vitvi07g00521	Vitis07g00604
VIT_07s0005g02640	Vitvi07g00531	-
VIT_07s0005g02800	Vitvi07g00544	Vitis07g00627
VIT_07s0005g02950	Vitvi07g00563	Vitis07g00659
VIT_07s0005g03190	Vitvi07g02062	Vitis07g00688
VIT_07s0005g03200	Vitvi07g02064	Vitis07g00690
VIT_07s0005g03210	Vitvi07g00590	Vitis07g00691
VIT_07s0005g03300	Vitvi07g02266	Vitis07g00700
VIT_07s0005g03340	Vitvi07g00598	Vitis07g00704
VIT_07s0005g03730	Vitvi07g00630	Vitis07g00738
VIT_07s0005g03790	Vitvi07g00637	Vitis07g00747
VIT_07s0005g04380	Vitvi07g00687	Vitis07g00802
VIT_07s0005g04420	Vitvi07g00691	Vitis07g00807
VIT_07s0005g04480	Vitvi07g00696	Vitis07g00817
VIT_07s0005g04700	Vitvi07g04174	-
VIT_07s0005g05780	Vitvi07g00824	Vitis07g00945
VIT_07s0005g06340	Vitvi07g00907	Vitis07g01023
VIT_00s0184g00040	Vitvi07g01061	-
VIT_00s0340g00070	Vitvi07g02991	-
VIT_00s0340g00050	Vitvi07g02990	Vitis07g01574
VIT_00s0220g00110	Vitvi07g01247	Vitis07g01589
VIT_07s0197g00080	Vitvi07g01323	-
VIT_00s0662g00010	Vitvi07g03026	Vitis07g01697
VIT_00s0304g00040	Vitvi07g01360	-
VIT_00s0742g00040	Vitvi07g04555	-
VIT_00s0391g00070	Vitvi07g03049	Vitis07g01778
VIT_07s0191g00190	Vitvi07g01482	Vitis07g01805
VIT_07s0191g00240	Vitvi07g01475	Vitis07g01815
VIT_00s0199g00210	Vitvi07g01460	Vitis07g01831
VIT_00s0199g00170	Vitvi07g02591	Vitis07g01836
VIT_00s0218g00110	Vitvi07g01408	Vitis07g01879
VIT_00s0218g00070	Vitvi07g01403	Vitis07g01883
VIT_00s1437g00010	Vitvi07g03132	-
VIT_00s0558g00010	Vitvi07g04666	Vitis07g01968
VIT_00s0670g00020	Vitvi07g04669	-
VIT_07s0129g00240	Vitvi07g01602	Vitis07g02033
VIT_07s0129g00270	Vitvi07g01605	Vitis07g02036
VIT_07s0129g00530	Vitvi07g01633	Vitis07g02060
VIT_07s0129g01100	Vitvi07g01683	Vitis07g02120
VIT_07s0031g00190	Vitvi07g01702	Vitis07g02141
VIT_07s0031g00470	Vitvi07g01731	-
VIT_07s0031g00620	Vitvi07g01745	Vitis07g02191
VIT_07s0031g00710	Vitvi07g01755	Vitis07g02202
VIT_07s0031g00920	Vitvi07g01777	Vitis07g02222
VIT_07s0031g00980	Vitvi07g01783	Vitis07g02226
VIT_07s0031g01460	Vitvi07g01823	Vitis07g02271
VIT_07s0031g01600	Vitvi07g01835	-
VIT_07s0031g01770	Vitvi07g01853	Vitis07g02301
VIT_07s0031g02200	Vitvi07g01893	Vitis07g02347
VIT_07s0031g02390	Vitvi07g01908	Vitis07g02368
VIT_07s0031g02750	Vitvi07g01952	Vitis07g02412
VIT_07s0031g02820	Vitvi07g01959	Vitis07g02419
VIT_07s0031g03090	Vitvi07g02717	Vitis07g02449
VIT_07s0031g03170	Vitvi07g02000	Vitis07g02457
VIT_07s0130g00350	Vitvi07g02043	Vitis07g02504
VIT_08s0056g00310	Vitvi08g00027	Vitis08g00041
VIT_08s0056g01570	Vitvi08g00135	Vitis08g00189
VIT_08s0056g01640	Vitvi08g00142	-
VIT_08s0032g00090	Vitvi08g00160	Vitis08g00223
VIT_08s0032g00840	Vitvi08g00225	Vitis08g00313
VIT_08s0032g01110	Vitvi08g00274	Vitis08g00360
VIT_08s0032g01130	Vitvi08g00281	Vitis08g00368
VIT_08s0105g00430	Vitvi08g00662	Vitis08g00528
VIT_08s0105g00460	Vitvi08g00667	Vitis08g00531
VIT_08s0105g00590	Vitvi08g00678	Vitis08g00546
VIT_08s0058g00690	Vitvi08g00793	Vitis08g00676
VIT_08s0058g00930	Vitvi08g00816	Vitis08g00697
VIT_08s0040g00510	Vitvi08g00913	Vitis08g00796
VIT_08s0040g00780	Vitvi08g00940	Vitis08g00819
VIT_08s0040g01330	Vitvi08g00987	Vitis08g00878
VIT_08s0040g01700	Vitvi08g01021	Vitis08g00920
VIT_08s0040g01810	Vitvi08g01033	-
VIT_08s0040g02100	Vitvi08g01050	Vitis08g00965
VIT_08s0040g02900	Vitvi08g01117	Vitis08g01045
VIT_08s0040g03320	Vitvi08g01162	Vitis08g01083
VIT_08s0007g00060	Vitvi08g01177	Vitis08g01098
VIT_08s0007g00170	Vitvi08g01185	Vitis08g01108
VIT_08s0007g01060	Vitvi08g01261	Vitis08g01184
VIT_08s0007g01570	Vitvi08g01301	Vitis08g01234
VIT_08s0007g01760	Vitvi08g01320	Vitis08g01253
VIT_08s0007g01790	Vitvi08g01323	Vitis08g01258
VIT_08s0007g02480	Vitvi08g01385	Vitis08g01326
VIT_08s0007g02510	Vitvi08g01388	Vitis08g01329
VIT_08s0007g02710	Vitvi08g01402	-
VIT_08s0007g03240	Vitvi08g01454	Vitis08g01401
VIT_08s0007g03280	Vitvi08g01457	Vitis08g01406
VIT_08s0007g03320	Vitvi08g01460	Vitis08g01410
VIT_08s0007g03750	Vitvi08g01497	Vitis08g01457
VIT_08s0007g03830	Vitvi08g01506	Vitis08g01466
