v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name	Source
Zm00001eb034740	Zm00001d031421	GRMZM2G441888	LOC100282049		Gene Model - MaizeGDB
Zm00001eb034750	Zm00001d031422	GRMZM2G142597	cl3252_1a		Gene Model - MaizeGDB
Zm00001eb034760	Zm00001d031423	EF396230	znf14	zinc finger protein14	GenBank
Zm00001eb034760	Zm00001d031423	GRMZM2G441903	znf14	zinc finger protein14	Gene Model - MaizeGDB
Zm00001eb034800	Zm00001d031427	GRMZM2G132763	bak2	brassinosteroid insensitive1-associated receptor kinase like2	Gene Model - MaizeGDB
Zm00001eb034810	Zm00001d031428	GRMZM2G141320	mgd2	monogalactosyldiacylglycerol synthase2	Gene Model - MaizeGDB
Zm00001eb034820	Zm00001d031429	GRMZM2G132607	par1	plant architecture 1	Gene Model - MaizeGDB
Zm00001eb034830	Zm00001d031429	GRMZM2G132623	TIDP3261		Gene Model - MaizeGDB
Zm00001eb034840	Zm00001d031430	GRMZM2G132704	cl11031_1a		Gene Model - MaizeGDB
Zm00001eb034850	Zm00001d031431	GRMZM2G132748	GRMZM2G132748		Gene Model - MaizeGDB
Zm00001eb034870	Zm00001d031434	GRMZM2G121312	pgip2	polygalacturonase-inhibiting protein2	Gene Model - MaizeGDB
Zm00001eb034890	Zm00001d031436	GRMZM5G839014	pco067115		Gene Model - MaizeGDB
Zm00001eb034900	Zm00001d031437	GRMZM5G836190	pan1	pangloss1	Gene Model - MaizeGDB
Zm00001eb034920	Zm00001d031439	EU973251.1 	umc1123		GenBank
Zm00001eb034920	Zm00001d031439	GRMZM5G854901	umc1123		Gene Model - MaizeGDB
Zm00001eb034940	Zm00001d031441	GRMZM5G879527	bhlh112	bHLH-transcription factor 112	Gene Model - MaizeGDB
Zm00001eb034940	Zm00001d031441	GRMZM5G879527	bhlh112	bHLH-transcription factor 112	Grassius
Zm00001eb034980	Zm00001d031445	AC234203.1_FG011	eil13	EIL-transcription factor 3	Gene Model - MaizeGDB
Zm00001eb034980	Zm00001d031445	AC234203.1_FG011	eil13	EIL-transcription factor 3	Grassius
Zm00001eb034990	Zm00001d031447	AC234203.1_FG004	mrpa10	multidrug resistance protein associated10	Gene Model - MaizeGDB
Zm00001eb035010	Zm00001d031449	GRMZM5G822593	lox13	lipoxygenase13	Gene Model - MaizeGDB
Zm00001eb035020	Zm00001d031450	GRMZM2G161004	GRMZM2G161004		Gene Model - MaizeGDB
Zm00001eb035030	Zm00001d031451	GRMZM2G160917	ub2	unbranched2	Gene Model - MaizeGDB
Zm00001eb035030	Zm00001d031451	GRMZM2G160917	ub2	unbranched2	Grassius
Zm00001eb035040	Zm00001d031453	GRMZM2G115442	si606063d04		Gene Model - MaizeGDB
Zm00001eb035050	Zm00001d031454	GRMZM2G022499	mybr103	MYB-related-transcription factor 103	Gene Model - MaizeGDB
Zm00001eb035050	Zm00001d031454	GRMZM2G022499	mybr103	MYB-related-transcription factor 103	Grassius
Zm00001eb035080	Zm00001d031459	GRMZM2G007681	rmr6	required to maintain repression6	Gene Model - MaizeGDB
Zm00001eb035110	Zm00001d031459	GRMZM2G007681	rmr6	required to maintain repression6	Gene Model - MaizeGDB
Zm00001eb035120	Zm00001d031459	GRMZM2G007681	rmr6	required to maintain repression6	Gene Model - MaizeGDB
Zm00001eb035140	Zm00001d031460	GRMZM2G430455	LOC103642093		Gene Model - MaizeGDB
Zm00001eb035180	Zm00001d031463	GRMZM2G430522	nactf114	NAC-transcription factor 114	Gene Model - MaizeGDB
Zm00001eb035180	Zm00001d031463	GRMZM2G430522	nactf114	NAC-transcription factor 114	Grassius
Zm00001eb035220	Zm00001d031466	GRMZM2G042622	wakl8	wall associated kinase like8	Gene Model - MaizeGDB
Zm00001eb035230	Zm00001d031470	GRMZM2G055992	Zm00001eb035230		Gene Model - MaizeGDB
Zm00001eb035240	Zm00001d031471	GRMZM2G056056	ppr48	pentatricopeptide repeat protein48	Gene Model - MaizeGDB
Zm00001eb035240	Zm00001d031471	GRMZM2G056122	ppr48	pentatricopeptide repeat protein48	Gene Model - MaizeGDB
Zm00001eb035260	Zm00001d031473	GRMZM2G088627	cl5942_1a		Gene Model - MaizeGDB
Zm00001eb035290	Zm00001d031476	GRMZM2G009117	Zm00001d031476		Gene Model - MaizeGDB
Zm00001eb035310	Zm00001d031480	AI691378	AY104360		GenBank
Zm00001eb035310	Zm00001d031480	GRMZM2G124557	AY104360		Gene Model - MaizeGDB
Zm00001eb035340	Zm00001d031484	GRMZM2G172723	TIDP3285		Gene Model - MaizeGDB
Zm00001eb035350	Zm00001d031485	GRMZM2G068193	cdc5	cell division control protein homolog5	Gene Model - MaizeGDB
Zm00001eb035360	Zm00001d031486	GRMZM2G004582	pco121275a		Gene Model - MaizeGDB
Zm00001eb035370	Zm00001d031487	GRMZM2G169270	sbp16	SBP-transcription factor16	Gene Model - MaizeGDB
Zm00001eb035370	Zm00001d031487	GRMZM2G169270	sbp16	SBP-transcription factor16	Grassius
Zm00001eb035390	Zm00001d031488	AT4G35420	dfr2	dihydroflavonol-4-reductase2	Arabidopsis Ortholog
Zm00001eb035390	Zm00001d031488	GRMZM2G168893	dfr2	dihydroflavonol-4-reductase2	Gene Model - MaizeGDB
Zm00001eb035420	Zm00001d031490	GRMZM2G141784	dnaj108	DnaJ family protein108	Gene Model - MaizeGDB
Zm00001eb035440	Zm00001d031494	GRMZM2G047968	apx7	ascorbate peroxidase7	Gene Model - MaizeGDB
Zm00001eb035440	Zm00001d031494	GRMZM2G083128	apx7	ascorbate peroxidase7	Gene Model - MaizeGDB
Zm00001eb035460	Zm00001d031498	GRMZM2G016079	ereb169	AP2-EREBP-transcription factor 169	Gene Model - MaizeGDB
Zm00001eb035460	Zm00001d031498	GRMZM2G016079	ereb169	AP2-EREBP-transcription factor 169	Grassius
Zm00001eb035470	Zm00001d031499	GRMZM2G480434	ereb108	AP2-EREBP-transcription factor 108	Gene Model - MaizeGDB
Zm00001eb035470	Zm00001d031499	GRMZM2G480434	ereb108	AP2-EREBP-transcription factor 108	Grassius
Zm00001eb035490	Zm00001d031501	GRMZM2G033656	ereb150	AP2-EREBP-transcription factor 150	Gene Model - MaizeGDB
Zm00001eb035510	Zm00001d031503		Zm00001d031503		<i>unknown</i>
Zm00001eb035540	Zm00001d031509	AF243041	ptk3	receptor-like protein kinase3	GenBank
Zm00001eb035540	Zm00001d031509	GRMZM2G151216	ptk3	receptor-like protein kinase3	Gene Model - MaizeGDB
Zm00001eb035590	Zm00001d031515	GRMZM2G046443	myb98	MYB-transcription factor 98	Gene Model - MaizeGDB
Zm00001eb035590	Zm00001d031515	GRMZM2G046443	myb98	MYB-transcription factor 98	Grassius
Zm00001eb035640	Zm00001d031522	GRMZM2G169820	arftf1	ARF-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb035640	Zm00001d031522	GRMZM2G169820	arftf1	ARF-transcription factor 1	Grassius
Zm00001eb035650	Zm00001d031523	GRMZM2G329750	Zm00001d031523		Gene Model - MaizeGDB
Zm00001eb035670	Zm00001d031526	AT3G42630	GRMZM2G166407		Arabidopsis Ortholog
Zm00001eb035670	Zm00001d031526	GRMZM2G166407	GRMZM2G166407		Gene Model - MaizeGDB
Zm00001eb035680	Zm00001d031527	GRMZM2G149480	LOC103642440		Gene Model - MaizeGDB
Zm00001eb035700	Zm00001d031529	GRMZM2G449123	pum4	pumilio4	Gene Model - MaizeGDB
Zm00001eb035720	Zm00001d031531		bnlg1057		<i>unknown</i>
Zm00001eb035730	Zm00001d031532	GRMZM2G084149	Zm00001d031532		Gene Model - MaizeGDB
Zm00001eb035740	Zm00001d031533	GRMZM2G061542	mterf2	mTERF protein domain2	Gene Model - MaizeGDB
Zm00001eb035740	Zm00001d031533	GRMZM2G061542	mterf2	mTERF protein domain2	Grassius
Zm00001eb035750	Zm00001d031534	GRMZM2G005652	umc1396		Gene Model - MaizeGDB
Zm00001eb035760	Zm00001d031535	AT4G18750	ppr49	pentatricopeptide repeat protein49	Arabidopsis Ortholog
Zm00001eb035760	Zm00001d031535	GRMZM2G076257	ppr49	pentatricopeptide repeat protein49	Gene Model - MaizeGDB
Zm00001eb035770		GRMZM2G006293	magi89347		Gene Model - MaizeGDB
Zm00001eb035790	Zm00001d031539	EZ049192.1 	umc2235		GenBank
Zm00001eb035790	Zm00001d031539	EZ084811.1  	umc2235		GenBank
Zm00001eb035790	Zm00001d031539	GRMZM2G074270	umc2235		Gene Model - MaizeGDB
Zm00001eb035800	Zm00001d031540	GRMZM2G074114	si947003b07a		Gene Model - MaizeGDB
Zm00001eb035820	Zm00001d031542	AF311223	sert1	serrate ortholog1	GenBank
Zm00001eb035820	Zm00001d031542	AT2G27100	sert1	serrate ortholog1	Arabidopsis Ortholog
Zm00001eb035820	Zm00001d031542	GRMZM2G132780	sert1	serrate ortholog1	Gene Model - MaizeGDB
Zm00001eb035840	Zm00001d031543	GRMZM2G132712	pco101694		Gene Model - MaizeGDB
Zm00001eb035850	Zm00001d031544	GRMZM2G132667	lbd8	LBD-transcription factor 8	Gene Model - MaizeGDB
Zm00001eb035850	Zm00001d031544	GRMZM2G132667	lbd8	LBD-transcription factor 8	Grassius
Zm00001eb035860	Zm00001d031545	GRMZM2G337191	cl4586_1a		Gene Model - MaizeGDB
Zm00001eb035870	Zm00001d031546	GRMZM2G337190	smr9	siamese-related9	Gene Model - MaizeGDB
Zm00001eb035890	Zm00001d031549	GRMZM2G040509	traf12	TNF receptor-associated factor 12	Gene Model - MaizeGDB
Zm00001eb035900	Zm00001d031549	GRMZM2G337139	mab3	math-btb3	Gene Model - MaizeGDB
Zm00001eb035910	Zm00001d031550	GRMZM2G404188	mab2	math-btb2	Gene Model - MaizeGDB
Zm00001eb035910	Zm00001d031550	GRMZM2G404188	mab2	math-btb2	Grassius
Zm00001eb035940		GRMZM2G026664	traf9	TNF receptor-associated factor 9	Gene Model - MaizeGDB
Zm00001eb035960	Zm00001d031554	GRMZM2G329909	umc1919a		Gene Model - MaizeGDB
Zm00001eb035960	Zm00001d031554	GRMZM5G896294	umc1919a		Gene Model - MaizeGDB
Zm00001eb035970	Zm00001d031555	EU974127.1 	umc1748		GenBank
Zm00001eb035970	Zm00001d031555	EU974818.1 	umc1748		GenBank
Zm00001eb035970	Zm00001d031555	EZ050880.1	umc1748		GenBank
Zm00001eb035970	Zm00001d031555	GRMZM2G386209	umc1748		Gene Model - MaizeGDB
Zm00001eb036020	Zm00001d031560	AC197246.3_FG003	cl1797_4		Gene Model - MaizeGDB
Zm00001eb036040	Zm00001d031561	GRMZM5G828396	bhlh81	bHLH-transcription factor 81	Gene Model - MaizeGDB
Zm00001eb036040	Zm00001d031561	GRMZM5G828396	bhlh81	bHLH-transcription factor 81	Grassius
Zm00001eb036050	Zm00001d031562	AC197246.3_FG001	ras11G1	ras-related protein11G1	Gene Model - MaizeGDB
Zm00001eb036050	Zm00001d031562	AY106908	ras11G1	ras-related protein11G1	GenBank
Zm00001eb036050	Zm00001d031562	EU975177	ras11G1	ras-related protein11G1	GenBank
Zm00001eb036060	Zm00001d031563	GRMZM2G032531	LOC103645160		Gene Model - MaizeGDB
Zm00001eb036070	Zm00001d031563	GRMZM2G032531	LOC103645160		Gene Model - MaizeGDB
Zm00001eb036080	Zm00001d031563	GRMZM2G032531	LOC103645160		Gene Model - MaizeGDB
Zm00001eb036130	Zm00001d031569	GRMZM2G096585	pco127462a		Gene Model - MaizeGDB
Zm00001eb036160	Zm00001d031571	GRMZM2G179354	pdcb4	plasmodesmata callose binding protein4	Gene Model - MaizeGDB
Zm00001eb036170	Zm00001d031572	GRMZM2G179366	bbr1	BBR/BPC-transcription factor 1	Gene Model - MaizeGDB
Zm00001eb036170	Zm00001d031572	GRMZM2G179366	bbr1	BBR/BPC-transcription factor 1	Grassius
Zm00001eb036220	Zm00001d031577	AT3G23820	GRMZM2G161233		Arabidopsis Ortholog
Zm00001eb036220	Zm00001d031577	GRMZM2G161233	GRMZM2G161233		Gene Model - MaizeGDB
Zm00001eb036240	Zm00001d031580	AT3G25070	GRMZM2G703858		Arabidopsis Ortholog
Zm00001eb036240	Zm00001d031580	GRMZM2G703858	GRMZM2G703858		Gene Model - MaizeGDB
Zm00001eb036250	Zm00001d031581	GRMZM2G012123	bnlg1615		Gene Model - MaizeGDB
Zm00001eb036270	Zm00001d031581	GRMZM2G012453	si687023g10a		Gene Model - MaizeGDB
Zm00001eb036300	Zm00001d031586	GRMZM5G871093	ring52	RING-type E3 ligase52	Gene Model - MaizeGDB
Zm00001eb036320	Zm00001d031589	GRMZM5G872373	LOC100273360		Gene Model - MaizeGDB
Zm00001eb036330	Zm00001d031590	GRMZM5G866884	IDP7280		Gene Model - MaizeGDB
Zm00001eb036340	Zm00001d031591	GRMZM2G148220	mads48	MADS-transcription factor 48	Gene Model - MaizeGDB
Zm00001eb036340	Zm00001d031591	GRMZM2G148220	mads48	MADS-transcription factor 48	Grassius
Zm00001eb036350	Zm00001d031593	GRMZM2G424241	fha2	FHA-transcription factor 2	Gene Model - MaizeGDB
Zm00001eb036350	Zm00001d031593	GRMZM2G424241	fha2	FHA-transcription factor 2	Grassius
Zm00001eb036360	Zm00001d031593	GRMZM2G424241	fha2	FHA-transcription factor 2	Gene Model - MaizeGDB
Zm00001eb036360	Zm00001d031593	GRMZM2G424241	fha2	FHA-transcription factor 2	Grassius
Zm00001eb036370	Zm00001d031593	GRMZM2G424241	fha2	FHA-transcription factor 2	Gene Model - MaizeGDB
Zm00001eb036370	Zm00001d031593	GRMZM2G424241	fha2	FHA-transcription factor 2	Grassius
Zm00001eb036380	Zm00001d031594	GRMZM2G148648	pin7	PIN-formed protein7	Gene Model - MaizeGDB
Zm00001eb036390	Zm00001d031595	GRMZM2G383817	GRMZM2G383817		Gene Model - MaizeGDB
Zm00001eb036400	Zm00001d031597	AC213524.3_FG003	tcptf42	TCP-transcription factor 42	Gene Model - MaizeGDB
Zm00001eb036400	Zm00001d031597	AC213524.3_FG003	tcptf42	TCP-transcription factor 42	Grassius
Zm00001eb036410	Zm00001d031597	AC213524.3_FG003	tcptf42	TCP-transcription factor 42	Gene Model - MaizeGDB
Zm00001eb036410	Zm00001d031597	AC213524.3_FG003	tcptf42	TCP-transcription factor 42	Grassius
Zm00001eb036470	Zm00001d031601	GRMZM2G142357	Zm00001d031601		Gene Model - MaizeGDB
Zm00001eb036530	Zm00001d031611	EU952887	rpl17c	ribosomal protein L17c	GenBank
Zm00001eb036530	Zm00001d031611	EU958879	rpl17c	ribosomal protein L17c	GenBank
Zm00001eb036530	Zm00001d031611	GRMZM2G148744	rpl17c	ribosomal protein L17c	Gene Model - MaizeGDB
Zm00001eb036560	Zm00001d031617	GRMZM2G114739	so1	sulfite oxidase1	Gene Model - MaizeGDB
Zm00001eb036580	Zm00001d031619	EH210697	IDP7844		GenBank
Zm00001eb036580	Zm00001d031619	GRMZM2G114841	IDP7844		Gene Model - MaizeGDB
Zm00001eb036590	Zm00001d031620	GRMZM2G159397	zmm6	Zea mays MADS6	Classical Genes
Zm00001eb036590	Zm00001d031620	GRMZM2G159397	zmm6	Zea mays MADS6	Grassius
Zm00001eb036610	Zm00001d031621	GRMZM2G171111	mtn1	methylthioadenosine nucleosidase1	Gene Model - MaizeGDB
Zm00001eb036630	Zm00001d031625	GRMZM2G098986	mads77	MADS-transcription factor 77	Gene Model - MaizeGDB
Zm00001eb036630	Zm00001d031625	GRMZM2G098986	mads77	MADS-transcription factor 77	Grassius
Zm00001eb036640	Zm00001d031627	GRMZM2G407249	ntf1	nuclear transport factor1	Gene Model - MaizeGDB
Zm00001eb036660	Zm00001d031630	GRMZM2G321650	Zm00001eb036660		Gene Model - MaizeGDB
Zm00001eb036710	Zm00001d031634	GRMZM2G041262	LOC100285740		Gene Model - MaizeGDB
Zm00001eb036710	Zm00001d031634	GRMZM2G136523	LOC100285740		Gene Model - MaizeGDB
Zm00001eb036720	Zm00001d031635	GRMZM2G136534	prx13	peroxidase13	Gene Model - MaizeGDB
Zm00001eb036750	Zm00001d031636	EU952782.1 	ltpg1	glycosylphosphatidylinositol-anchored lipid protein transfer1	GenBank
Zm00001eb036750	Zm00001d031636	GRMZM2G083725	ltpg1	glycosylphosphatidylinositol-anchored lipid protein transfer1	Gene Model - MaizeGDB
Zm00001eb036760	Zm00001d031637	GRMZM2G083551	umc2151		Gene Model - MaizeGDB
Zm00001eb036770	Zm00001d031638	GRMZM2G083538	cl18044_1		Gene Model - MaizeGDB
Zm00001eb036780	Zm00001d031639	GRMZM2G135617	acr3	ACT domain repeat3	Gene Model - MaizeGDB
Zm00001eb036790	Zm00001d031640	GRMZM2G135654	csu505(rpL7)		Gene Model - MaizeGDB
Zm00001eb036800	Zm00001d031641	GRMZM2G436319	AY111153		Gene Model - MaizeGDB
Zm00001eb036840	Zm00001d031643	AT1G60080	Zm00001eb036840		Arabidopsis Ortholog
Zm00001eb036840	Zm00001d031643	GRMZM5G886044	Zm00001eb036840		Gene Model - MaizeGDB
Zm00001eb036880	Zm00001d031647	GRMZM2G368827	sweet11a	sugars will eventually be exported transporter11	Gene Model - MaizeGDB
Zm00001eb036890	Zm00001d031648	GRMZM2G068657	pat4	protein S-acyltransferase4	Gene Model - MaizeGDB
Zm00001eb036900	Zm00001d031651	GRMZM2G075003	cl5926_1a		Gene Model - MaizeGDB
Zm00001eb036910	Zm00001d031653	GRMZM2G064962	gpx3	glycerophosphodiester phosphodiesterase3	Gene Model - MaizeGDB
Zm00001eb036920	Zm00001d031655	AY107483.1 	nactf48	NAC-transcription factor 48	GenBank
Zm00001eb036920	Zm00001d031655	EZ064401.1	nactf48	NAC-transcription factor 48	GenBank
Zm00001eb036920	Zm00001d031655	EZ107303.1	nactf48	NAC-transcription factor 48	GenBank
Zm00001eb036920	Zm00001d031655	EZ112801.1	nactf48	NAC-transcription factor 48	GenBank
Zm00001eb036920	Zm00001d031655	GRMZM2G054252	nactf48	NAC-transcription factor 48	Gene Model - MaizeGDB
Zm00001eb036920	Zm00001d031655	GRMZM2G054252	nactf48	NAC-transcription factor 48	Grassius
Zm00001eb036930	Zm00001d031657	GRMZM2G136453	pap15	purple acid phosphatase15	Gene Model - MaizeGDB
Zm00001eb036940	Zm00001d031659	AF069908	pdh2	pyruvate dehydrogenase2	GenBank
Zm00001eb036940	Zm00001d031659	GRMZM2G043198	pdh2	pyruvate dehydrogenase2	Gene Model - MaizeGDB
Zm00001eb036950	Zm00001d031660	GRMZM2G138425	TIDP2682		Gene Model - MaizeGDB
Zm00001eb036970	Zm00001d031662	EZ099566.1	col16	C2C2-CO-like-transcription factor 16	GenBank
Zm00001eb036970	Zm00001d031662	GRMZM2G159996	col16	C2C2-CO-like-transcription factor 16	Gene Model - MaizeGDB
Zm00001eb036990	Zm00001d031665	GRMZM5G882527	bhlh173	bHLH-transcription factor 173	Gene Model - MaizeGDB
Zm00001eb036990	Zm00001d031665	GRMZM5G882527	bhlh173	bHLH-transcription factor 173	Grassius
Zm00001eb037000	Zm00001d031666	GRMZM2G020631	Zm00001d031666		Gene Model - MaizeGDB
Zm00001eb037010	Zm00001d031667	GRMZM5G872204	dsc2	Discolored-paralog2	Gene Model - MaizeGDB
Zm00001eb037030	Zm00001d031669	GRMZM2G080565	cl8235_1		Gene Model - MaizeGDB
Zm00001eb037040	Zm00001d031673	GRMZM2G309731	ereb119	AP2-EREBP-transcription factor 119	Gene Model - MaizeGDB
Zm00001eb037040	Zm00001d031673	GRMZM2G309731	ereb119	AP2-EREBP-transcription factor 119	Grassius
Zm00001eb037050	Zm00001d031674	GRMZM2G041797	IDP8445		Gene Model - MaizeGDB
Zm00001eb037080	Zm00001d031676	GRMZM2G317770	IDP295		Gene Model - MaizeGDB
Zm00001eb037110	Zm00001d031677	GRMZM2G048129	pco070301		Gene Model - MaizeGDB
Zm00001eb037120	Zm00001d031678	EU945294	rrb3	related to retinoblastoma3	GenBank
Zm00001eb037120	Zm00001d031678	GRMZM2G033828	rrb3	related to retinoblastoma3	Gene Model - MaizeGDB
Zm00001eb037120	Zm00001d031678	GRMZM2G033828	rrb3	related to retinoblastoma3	Grassius
Zm00001eb037170	Zm00001d031684	GRMZM2G053027	ring53	RING-type E3 ligase53	Gene Model - MaizeGDB
Zm00001eb037200	Zm00001d031688	GRMZM2G153823		grf18	general regulatory factor18	Gene Model - MaizeGDB
Zm00001eb037210	Zm00001d031689	GRMZM2G153945	umc2568		Gene Model - MaizeGDB
Zm00001eb037230	Zm00001d031691	GRMZM2G452523	cl765_1		Gene Model - MaizeGDB
Zm00001eb037260	Zm00001d031694	GRMZM2G143644	ring54	RING-type E3 ligase54	Gene Model - MaizeGDB
Zm00001eb037280	Zm00001d031696	GRMZM2G030494	GRMZM2G030494		Gene Model - MaizeGDB
Zm00001eb037290	Zm00001d031697	GRMZM2G332294	bzip62	bZIP-transcription factor 62	Gene Model - MaizeGDB
Zm00001eb037290	Zm00001d031697	GRMZM2G332294	bzip62	bZIP-transcription factor 62	Grassius
Zm00001eb037310	Zm00001d031701	GRMZM2G069594	si486077f02(35)		Gene Model - MaizeGDB
Zm00001eb037330	Zm00001d031703	GRMZM2G107336	magi38962		Gene Model - MaizeGDB
Zm00001eb037340	Zm00001d031704	GRMZM2G051795	Zm00001d031704		Gene Model - MaizeGDB
Zm00001eb037350	Zm00001d031705	GRMZM2G045135	umc1254		Gene Model - MaizeGDB
Zm00001eb037360	Zm00001d031706	GRMZM2G045401	Zm00001d031706		Gene Model - MaizeGDB
Zm00001eb037380	Zm00001d031707	GRMZM2G045503	larp3	la motif-related protein3	Gene Model - MaizeGDB
Zm00001eb037410	Zm00001d031711	AF056155	AF056155		GenBank
Zm00001eb037410	Zm00001d031711	GRMZM2G322748	AF056155		Gene Model - MaizeGDB
Zm00001eb037420	Zm00001d031712	GRMZM2G019050	pco095940		Gene Model - MaizeGDB
Zm00001eb037430	Zm00001d031715	GRMZM2G325786	si486073h06a		Gene Model - MaizeGDB
Zm00001eb037440	Zm00001d031717	GRMZM2G472671	bhlh145	bHLH-transcription factor 145	Gene Model - MaizeGDB
Zm00001eb037440	Zm00001d031717	GRMZM2G472671	bhlh145	bHLH-transcription factor 145	Grassius
Zm00001eb037450	Zm00001d031720	GRMZM2G077320	ppr50	pentatricopeptide repeat protein50	Gene Model - MaizeGDB
Zm00001eb037460	Zm00001d031723	EU948084	bzip127	bZIP-transcription factor 127	GenBank
Zm00001eb037460	Zm00001d031723	EU955809	bzip127	bZIP-transcription factor 127	GenBank
Zm00001eb037460	Zm00001d031723	GRMZM2G175280	bzip127	bZIP-transcription factor 127	Gene Model - MaizeGDB
Zm00001eb037460	Zm00001d031723	GRMZM2G175280	bzip127	bZIP-transcription factor 127	Grassius
Zm00001eb037470	Zm00001d031724	GRMZM2G477872	pza02467		Gene Model - MaizeGDB
Zm00001eb037480	Zm00001d031725	EU945866	tcptf21	TCP-transcription factor 21	GenBank
Zm00001eb037480	Zm00001d031725	GECR01009868	tcptf21	TCP-transcription factor 21	GenBank
Zm00001eb037480	Zm00001d031725	GRMZM2G107031	tcptf21	TCP-transcription factor 21	Gene Model - MaizeGDB
Zm00001eb037480	Zm00001d031725	GRMZM2G107031	tcptf21	TCP-transcription factor 21	Grassius
Zm00001eb037500	Zm00001d031726	GRMZM2G175396	ufg50		Gene Model - MaizeGDB
Zm00001eb037520	Zm00001d031727	AW216031	sodh1	sorbitol dehydrogenase homolog1	GenBank
Zm00001eb037520	Zm00001d031727	GRMZM2G175423	sodh1	sorbitol dehydrogenase homolog1	Gene Model - MaizeGDB
Zm00001eb037530	Zm00001d031728	GRMZM2G175856	ereb79	AP2-EREBP-transcription factor 79	Gene Model - MaizeGDB
Zm00001eb037530	Zm00001d031728	GRMZM2G175856	ereb79	AP2-EREBP-transcription factor 79	Grassius
Zm00001eb037540	Zm00001d031729	GRMZM2G159581	IDP8292		Gene Model - MaizeGDB
Zm00001eb037550	Zm00001d031730	AC206030.4_FG001	mate9	multidrug and toxic compound extrusion9	Gene Model - MaizeGDB
Zm00001eb037560	Zm00001d031731	GRMZM2G380227	GRMZM2G380227		Gene Model - MaizeGDB
Zm00001eb037570	Zm00001d031732	GRMZM2G079956	bag2	B-cell lymphoma-2 (Bcl-2) associated athanogene2	Gene Model - MaizeGDB
Zm00001eb037600	Zm00001d031736	GRMZM2G164909	hsftf8	HSF-transcription factor 8	Gene Model - MaizeGDB
Zm00001eb037600	Zm00001d031736	GRMZM2G164909	hsftf8	HSF-transcription factor 8	Grassius
Zm00001eb037630	Zm00001d031738	A0A1D6KL43	psa2	photosystemI2	UniProt
Zm00001eb037630	Zm00001d031738	GRMZM2G021687	psa2	photosystemI2	Gene Model - MaizeGDB
Zm00001eb037640	Zm00001d031740	GRMZM2G021816	cl19870_1a		Gene Model - MaizeGDB
Zm00001eb037650	Zm00001d031741	GRMZM2G049346	wipf2	WAS/WASL interacting protein family, member 2	Gene Model - MaizeGDB
Zm00001eb037660	Zm00001d031743	GRMZM2G177862	Zm00001eb037660		Gene Model - MaizeGDB
Zm00001eb037670	Zm00001d031745	GRMZM2G142962	hb129	Homeobox-transcription factor 129	Gene Model - MaizeGDB
Zm00001eb037670	Zm00001d031745	GRMZM2G142962	hb129	Homeobox-transcription factor 129	Grassius
Zm00001eb037680	Zm00001d031747	GRMZM2G318475	csu1132		Gene Model - MaizeGDB
Zm00001eb037690	Zm00001d031749	AT3G17760	gad1	glutamate decarboxylase1	Arabidopsis Ortholog
Zm00001eb037690	Zm00001d031749	AT5G17330	gad1	glutamate decarboxylase1	Arabidopsis Ortholog
Zm00001eb037690	Zm00001d031749	AY103733	gad1	glutamate decarboxylase1	GenBank
Zm00001eb037690	Zm00001d031749	EU302127	gad1	glutamate decarboxylase1	GenBank
Zm00001eb037690	Zm00001d031749	EU968142	gad1	glutamate decarboxylase1	GenBank
Zm00001eb037690	Zm00001d031749	GRMZM2G017110	gad1	glutamate decarboxylase1	Gene Model - MaizeGDB
Zm00001eb037710	Zm00001d031753	GRMZM2G155340	IDP8340		Gene Model - MaizeGDB
Zm00001eb037730	Zm00001d031759	GRMZM2G123094	idd3	indeterminate domain3	Gene Model - MaizeGDB
Zm00001eb037820	Zm00001d031764	GRMZM2G001803	zip1	zinc-regulated, iron-regulated transporter-like protein1	Gene Model - MaizeGDB
Zm00001eb037860	Zm00001d031769	GRMZM2G076723	nnr4	nitrate reductase4	Gene Model - MaizeGDB
Zm00001eb037870	Zm00001d031771	AF377418	asg62		GenBank
Zm00001eb037870	Zm00001d031771	GRMZM2G379237	asg62		Gene Model - MaizeGDB
Zm00001eb037940	Zm00001d031778	GRMZM2G113191	cah7	carbonic anhydrase7	Gene Model - MaizeGDB
Zm00001eb037950	Zm00001d031779	GRMZM2G113165	IDP7979		Gene Model - MaizeGDB
Zm00001eb037960	Zm00001d031781	GRMZM2G134735	bhlh135	bHLH-transcription factor 135	Gene Model - MaizeGDB
Zm00001eb037960	Zm00001d031781	GRMZM2G134735	bhlh135	bHLH-transcription factor 135	Grassius
Zm00001eb037970	Zm00001d031782	GRMZM2G030594	ppr51	pentatricopeptide repeat protein51	Gene Model - MaizeGDB
Zm00001eb037990	Zm00001d031785	GRMZM2G117250	GRMZM2G117250		Gene Model - MaizeGDB
Zm00001eb038000	Zm00001d031789	GRMZM2G415785	tom1	transporter of mugineic acid1	Gene Model - MaizeGDB
Zm00001eb038010	Zm00001d031790	GRMZM2G478417	bzip49	bZIP-transcription factor 49	Gene Model - MaizeGDB
Zm00001eb038010	Zm00001d031790	GRMZM2G478417	bzip49	bZIP-transcription factor 49	Grassius
Zm00001eb038060	Zm00001d031794	GRMZM2G070172	amya2	alpha amylase2	Gene Model - MaizeGDB
