HORVU.MOREX.r3.1HG0000030	HORVU1Hr1G000030
HORVU.MOREX.r3.1HG0002380	HORVU1Hr1G001850
HORVU.MOREX.r3.1HG0002410	HORVU1Hr1G002000
HORVU.MOREX.r3.1HG0002440	HORVU1Hr1G002060
HORVU.MOREX.r3.1HG0002450	HORVU1Hr1G002090
HORVU.MOREX.r3.1HG0002470	HORVU1Hr1G002100
HORVU.MOREX.r3.1HG0002500	HORVU1Hr1G002110
HORVU.MOREX.r3.1HG0002560	HORVU1Hr1G002240
HORVU.MOREX.r3.1HG0002570	HORVU1Hr1G002220
HORVU.MOREX.r3.1HG0002580	HORVU1Hr1G002210
HORVU.MOREX.r3.1HG0002590	HORVU1Hr1G002340
HORVU.MOREX.r3.1HG0002630	HORVU1Hr1G002300
HORVU.MOREX.r3.1HG0002660	HORVU1Hr1G002390
HORVU.MOREX.r3.1HG0002800	HORVU1Hr1G002440
HORVU.MOREX.r3.1HG0002810	HORVU1Hr1G002450
HORVU.MOREX.r3.1HG0002830	HORVU1Hr1G002460
HORVU.MOREX.r3.1HG0002840	HORVU1Hr1G002470
HORVU.MOREX.r3.1HG0002860	HORVU1Hr1G002470
HORVU.MOREX.r3.1HG0002870	HORVU1Hr1G002470
HORVU.MOREX.r3.1HG0002980	HORVU1Hr1G002600
HORVU.MOREX.r3.1HG0002990	HORVU1Hr1G002600
HORVU.MOREX.r3.1HG0003000	HORVU1Hr1G002600
HORVU.MOREX.r3.1HG0003010	HORVU1Hr1G002600
HORVU.MOREX.r3.1HG0003050	HORVU1Hr1G002710
HORVU.MOREX.r3.1HG0003060	HORVU1Hr1G002690
HORVU.MOREX.r3.1HG0003070	HORVU1Hr1G002680
HORVU.MOREX.r3.1HG0003110	HORVU1Hr1G002770
HORVU.MOREX.r3.1HG0003120	HORVU1Hr1G002750
HORVU.MOREX.r3.1HG0003130	HORVU1Hr1G002740
HORVU.MOREX.r3.1HG0003140	HORVU1Hr1G002840
HORVU.MOREX.r3.1HG0003150	HORVU1Hr1G002830
HORVU.MOREX.r3.1HG0003160	HORVU1Hr1G002820
HORVU.MOREX.r3.1HG0003180	HORVU1Hr1G002900
HORVU.MOREX.r3.1HG0003200	HORVU1Hr1G002930
HORVU.MOREX.r3.1HG0003220	HORVU1Hr1G002920
HORVU.MOREX.r3.1HG0003270	HORVU1Hr1G002970
HORVU.MOREX.r3.1HG0003280	HORVU1Hr1G002970
HORVU.MOREX.r3.1HG0003290	HORVU1Hr1G002960
HORVU.MOREX.r3.1HG0003300	HORVU1Hr1G002950
HORVU.MOREX.r3.1HG0003310	HORVU1Hr1G003050
HORVU.MOREX.r3.1HG0003390	HORVU1Hr1G003100
HORVU.MOREX.r3.1HG0003410	HORVU1Hr1G003140
HORVU.MOREX.r3.1HG0003430	HORVU1Hr1G003170
HORVU.MOREX.r3.1HG0003450	HORVU1Hr1G003200
HORVU.MOREX.r3.1HG0003520	HORVU1Hr1G003210
HORVU.MOREX.r3.1HG0003650	HORVU1Hr1G003250
HORVU.MOREX.r3.1HG0003660	HORVU1Hr1G003260
HORVU.MOREX.r3.1HG0003690	HORVU1Hr1G003300
HORVU.MOREX.r3.1HG0003700	HORVU1Hr1G003280
HORVU.MOREX.r3.1HG0003710	HORVU1Hr1G003270
HORVU.MOREX.r3.1HG0003720	HORVU1Hr1G003320
HORVU.MOREX.r3.1HG0003820	HORVU1Hr1G003490
HORVU.MOREX.r3.1HG0003860	HORVU1Hr1G003460
HORVU.MOREX.r3.1HG0003900	HORVU1Hr1G003530
HORVU.MOREX.r3.1HG0003920	HORVU1Hr1G003580
HORVU.MOREX.r3.1HG0003970	HORVU1Hr1G003630
HORVU.MOREX.r3.1HG0003980	HORVU1Hr1G003630
HORVU.MOREX.r3.1HG0003990	HORVU1Hr1G003650
HORVU.MOREX.r3.1HG0004030	HORVU1Hr1G003700
HORVU.MOREX.r3.1HG0004060	HORVU1Hr1G003710
HORVU.MOREX.r3.1HG0004110	HORVU1Hr1G003810
HORVU.MOREX.r3.1HG0004160	HORVU1Hr1G003740
HORVU.MOREX.r3.1HG0004210	HORVU1Hr1G003940
HORVU.MOREX.r3.1HG0004220	HORVU1Hr1G003940
HORVU.MOREX.r3.1HG0004230	HORVU1Hr1G003960
HORVU.MOREX.r3.1HG0004240	HORVU1Hr1G003990
HORVU.MOREX.r3.1HG0004270	HORVU1Hr1G004020
HORVU.MOREX.r3.1HG0004280	HORVU1Hr1G004150
HORVU.MOREX.r3.1HG0004290	HORVU1Hr1G004150
HORVU.MOREX.r3.1HG0004300	HORVU1Hr1G004140
HORVU.MOREX.r3.1HG0004310	HORVU1Hr1G004130
HORVU.MOREX.r3.1HG0004320	HORVU1Hr1G004120
HORVU.MOREX.r3.1HG0004340	HORVU1Hr1G004080
HORVU.MOREX.r3.1HG0004350	HORVU1Hr1G004080
HORVU.MOREX.r3.1HG0004370	HORVU1Hr1G004040
HORVU.MOREX.r3.1HG0004380	HORVU1Hr1G004040
HORVU.MOREX.r3.1HG0004410	HORVU1Hr1G004030
HORVU.MOREX.r3.1HG0004460	HORVU1Hr1G004060
HORVU.MOREX.r3.1HG0004490	HORVU1Hr1G004050
HORVU.MOREX.r3.1HG0004540	HORVU1Hr1G004200
HORVU.MOREX.r3.1HG0004560	HORVU1Hr1G004230
HORVU.MOREX.r3.1HG0004690	HORVU1Hr1G004400
HORVU.MOREX.r3.1HG0004730	HORVU1Hr1G004330
HORVU.MOREX.r3.1HG0004780	HORVU1Hr1G004330
HORVU.MOREX.r3.1HG0004870	HORVU1Hr1G004510
HORVU.MOREX.r3.1HG0004880	HORVU1Hr1G004490
HORVU.MOREX.r3.1HG0004890	HORVU1Hr1G004480
HORVU.MOREX.r3.1HG0004940	HORVU1Hr1G004580
HORVU.MOREX.r3.1HG0004990	HORVU1Hr1G004660
HORVU.MOREX.r3.1HG0005000	HORVU1Hr1G004650
HORVU.MOREX.r3.1HG0005090	HORVU1Hr1G004720
HORVU.MOREX.r3.1HG0005110	HORVU1Hr1G004750
HORVU.MOREX.r3.1HG0005130	HORVU1Hr1G004750
HORVU.MOREX.r3.1HG0005170	HORVU1Hr1G004790
HORVU.MOREX.r3.1HG0005190	HORVU1Hr1G004800
HORVU.MOREX.r3.1HG0005200	HORVU1Hr1G004830
HORVU.MOREX.r3.1HG0005250	HORVU1Hr1G004840
HORVU.MOREX.r3.1HG0005340	HORVU1Hr1G004930
HORVU.MOREX.r3.1HG0005350	HORVU1Hr1G004930
HORVU.MOREX.r3.1HG0005360	HORVU1Hr1G004920
HORVU.MOREX.r3.1HG0005370	HORVU1Hr1G004910
HORVU.MOREX.r3.1HG0005400	HORVU1Hr1G004960
HORVU.MOREX.r3.1HG0005410	HORVU1Hr1G004970
HORVU.MOREX.r3.1HG0005420	HORVU1Hr1G004980
HORVU.MOREX.r3.1HG0005580	HORVU1Hr1G005120
HORVU.MOREX.r3.1HG0005590	HORVU1Hr1G005120
HORVU.MOREX.r3.1HG0005610	HORVU1Hr1G005090
HORVU.MOREX.r3.1HG0005640	HORVU1Hr1G005180
HORVU.MOREX.r3.1HG0005660	HORVU1Hr1G005200
HORVU.MOREX.r3.1HG0005750	HORVU1Hr1G005260
HORVU.MOREX.r3.1HG0005770	HORVU1Hr1G005270
HORVU.MOREX.r3.1HG0005780	HORVU1Hr1G005280
HORVU.MOREX.r3.1HG0005790	HORVU1Hr1G005290
HORVU.MOREX.r3.1HG0005830	HORVU1Hr1G005390
HORVU.MOREX.r3.1HG0005840	HORVU1Hr1G005370
HORVU.MOREX.r3.1HG0006070	HORVU1Hr1G005430
HORVU.MOREX.r3.1HG0006090	HORVU1Hr1G005420
HORVU.MOREX.r3.1HG0006100	HORVU1Hr1G005410
HORVU.MOREX.r3.1HG0006130	HORVU1Hr1G005460
HORVU.MOREX.r3.1HG0006160	HORVU1Hr1G005470
HORVU.MOREX.r3.1HG0006210	HORVU1Hr1G005510
HORVU.MOREX.r3.1HG0006230	HORVU1Hr1G005520
HORVU.MOREX.r3.1HG0006340	HORVU1Hr1G005600
HORVU.MOREX.r3.1HG0006400	HORVU1Hr1G005680
HORVU.MOREX.r3.1HG0006410	HORVU1Hr1G005700
HORVU.MOREX.r3.1HG0006420	HORVU1Hr1G005710
HORVU.MOREX.r3.1HG0006440	HORVU1Hr1G005730
HORVU.MOREX.r3.1HG0006450	HORVU1Hr1G005750
HORVU.MOREX.r3.1HG0006460	HORVU1Hr1G005760
HORVU.MOREX.r3.1HG0006480	HORVU1Hr1G005800
HORVU.MOREX.r3.1HG0006490	HORVU1Hr1G005790
HORVU.MOREX.r3.1HG0006570	HORVU0Hr1G000200
HORVU.MOREX.r3.1HG0006610	HORVU1Hr1G005870
HORVU.MOREX.r3.1HG0006660	HORVU1Hr1G005920
HORVU.MOREX.r3.1HG0006690	HORVU1Hr1G005980
HORVU.MOREX.r3.1HG0007160	HORVU1Hr1G006770
HORVU.MOREX.r3.1HG0007170	HORVU1Hr1G006780
HORVU.MOREX.r3.1HG0007200	HORVU1Hr1G006860
HORVU.MOREX.r3.1HG0007220	HORVU1Hr1G006880
HORVU.MOREX.r3.1HG0007230	HORVU1Hr1G006890
HORVU.MOREX.r3.1HG0007240	HORVU1Hr1G006910
HORVU.MOREX.r3.1HG0007250	HORVU1Hr1G006920
HORVU.MOREX.r3.1HG0007280	HORVU1Hr1G006940
HORVU.MOREX.r3.1HG0007290	HORVU1Hr1G006950
HORVU.MOREX.r3.1HG0007300	HORVU1Hr1G006970
HORVU.MOREX.r3.1HG0007340	HORVU1Hr1G006980
HORVU.MOREX.r3.1HG0007370	HORVU1Hr1G007010
HORVU.MOREX.r3.1HG0007590	HORVU1Hr1G007290
HORVU.MOREX.r3.1HG0007600	HORVU1Hr1G007310
HORVU.MOREX.r3.1HG0007620	HORVU1Hr1G007320
HORVU.MOREX.r3.1HG0007630	HORVU1Hr1G007320
HORVU.MOREX.r3.1HG0007740	HORVU1Hr1G007480
HORVU.MOREX.r3.1HG0007840	HORVU1Hr1G007600
HORVU.MOREX.r3.1HG0007850	HORVU1Hr1G007580
HORVU.MOREX.r3.1HG0007910	HORVU1Hr1G007640
HORVU.MOREX.r3.1HG0007940	HORVU1Hr1G007660
HORVU.MOREX.r3.1HG0008070	HORVU1Hr1G007730
HORVU.MOREX.r3.1HG0008080	HORVU1Hr1G007720
HORVU.MOREX.r3.1HG0008130	HORVU1Hr1G007800
HORVU.MOREX.r3.1HG0008140	HORVU1Hr1G007810
HORVU.MOREX.r3.1HG0008290	HORVU1Hr1G007850
HORVU.MOREX.r3.1HG0008310	HORVU1Hr1G007910
HORVU.MOREX.r3.1HG0008320	HORVU1Hr1G007930
HORVU.MOREX.r3.1HG0008440	HORVU1Hr1G008120
HORVU.MOREX.r3.1HG0008450	HORVU1Hr1G008130
HORVU.MOREX.r3.1HG0008460	HORVU1Hr1G008140
HORVU.MOREX.r3.1HG0008510	HORVU1Hr1G008250
HORVU.MOREX.r3.1HG0008520	HORVU1Hr1G008230
HORVU.MOREX.r3.1HG0008600	HORVU1Hr1G008300
HORVU.MOREX.r3.1HG0008610	HORVU1Hr1G008290
HORVU.MOREX.r3.1HG0008620	HORVU1Hr1G008350
HORVU.MOREX.r3.1HG0008630	HORVU1Hr1G008340
HORVU.MOREX.r3.1HG0008640	HORVU1Hr1G008330
HORVU.MOREX.r3.1HG0008650	HORVU1Hr1G008330
HORVU.MOREX.r3.1HG0008660	HORVU1Hr1G008480
HORVU.MOREX.r3.1HG0008680	HORVU1Hr1G008490
HORVU.MOREX.r3.1HG0008790	HORVU1Hr1G008360
HORVU.MOREX.r3.1HG0008810	HORVU1Hr1G008540
HORVU.MOREX.r3.1HG0008820	HORVU1Hr1G008530
HORVU.MOREX.r3.1HG0008840	HORVU1Hr1G008510
HORVU.MOREX.r3.1HG0008860	HORVU1Hr1G008580
HORVU.MOREX.r3.1HG0008890	HORVU1Hr1G008620
HORVU.MOREX.r3.1HG0008900	HORVU1Hr1G008650
HORVU.MOREX.r3.1HG0008910	HORVU1Hr1G008670
HORVU.MOREX.r3.1HG0008950	HORVU1Hr1G008690
HORVU.MOREX.r3.1HG0009050	HORVU1Hr1G008810
HORVU.MOREX.r3.1HG0009120	HORVU1Hr1G008900
HORVU.MOREX.r3.1HG0009210	HORVU1Hr1G008940
HORVU.MOREX.r3.1HG0009220	HORVU1Hr1G008930
HORVU.MOREX.r3.1HG0009360	HORVU1Hr1G009030
HORVU.MOREX.r3.1HG0009380	HORVU1Hr1G009060
HORVU.MOREX.r3.1HG0009390	HORVU1Hr1G009070
HORVU.MOREX.r3.1HG0009400	HORVU1Hr1G009080
HORVU.MOREX.r3.1HG0009420	HORVU1Hr1G009100
HORVU.MOREX.r3.1HG0009450	HORVU1Hr1G009140
HORVU.MOREX.r3.1HG0009610	HORVU1Hr1G009200
HORVU.MOREX.r3.1HG0009670	HORVU1Hr1G009310
HORVU.MOREX.r3.1HG0009740	HORVU1Hr1G009330
HORVU.MOREX.r3.1HG0009760	HORVU1Hr1G009320
HORVU.MOREX.r3.1HG0009920	HORVU1Hr1G009460
HORVU.MOREX.r3.1HG0009930	HORVU1Hr1G009490
HORVU.MOREX.r3.1HG0010020	HORVU1Hr1G009560
HORVU.MOREX.r3.1HG0010030	HORVU1Hr1G009560
HORVU.MOREX.r3.1HG0010060	HORVU1Hr1G009590
HORVU.MOREX.r3.1HG0010070	HORVU1Hr1G009590
HORVU.MOREX.r3.1HG0010080	HORVU1Hr1G009610
HORVU.MOREX.r3.1HG0010090	HORVU1Hr1G009600
HORVU.MOREX.r3.1HG0010130	HORVU1Hr1G009630
HORVU.MOREX.r3.1HG0010170	HORVU1Hr1G009640
HORVU.MOREX.r3.1HG0010340	HORVU1Hr1G009800
HORVU.MOREX.r3.1HG0010370	HORVU1Hr1G009900
HORVU.MOREX.r3.1HG0010380	HORVU1Hr1G009880
HORVU.MOREX.r3.1HG0010470	HORVU1Hr1G009950
HORVU.MOREX.r3.1HG0010530	HORVU1Hr1G010130
HORVU.MOREX.r3.1HG0010600	HORVU1Hr1G010120
HORVU.MOREX.r3.1HG0010610	HORVU1Hr1G010220
HORVU.MOREX.r3.1HG0010620	HORVU1Hr1G010140
HORVU.MOREX.r3.1HG0010640	HORVU1Hr1G010210
HORVU.MOREX.r3.1HG0010650	HORVU1Hr1G010230
HORVU.MOREX.r3.1HG0010660	HORVU1Hr1G010250
HORVU.MOREX.r3.1HG0010700	HORVU1Hr1G010300
HORVU.MOREX.r3.1HG0010720	HORVU1Hr1G010360
HORVU.MOREX.r3.1HG0010780	HORVU1Hr1G010390
HORVU.MOREX.r3.1HG0010790	HORVU1Hr1G010390
HORVU.MOREX.r3.1HG0010800	HORVU1Hr1G010400
HORVU.MOREX.r3.1HG0010930	HORVU1Hr1G010510
HORVU.MOREX.r3.1HG0010970	HORVU1Hr1G010580
HORVU.MOREX.r3.1HG0010980	HORVU1Hr1G010600
HORVU.MOREX.r3.1HG0010990	HORVU1Hr1G010640
HORVU.MOREX.r3.1HG0011020	HORVU1Hr1G010670
HORVU.MOREX.r3.1HG0011080	HORVU1Hr1G010720
HORVU.MOREX.r3.1HG0011090	HORVU1Hr1G010730
HORVU.MOREX.r3.1HG0011100	HORVU1Hr1G010740
HORVU.MOREX.r3.1HG0011140	HORVU1Hr1G010790
HORVU.MOREX.r3.1HG0011170	HORVU1Hr1G010780
HORVU.MOREX.r3.1HG0011180	HORVU1Hr1G010800
HORVU.MOREX.r3.1HG0011190	HORVU1Hr1G010810
HORVU.MOREX.r3.1HG0011250	HORVU1Hr1G010890
HORVU.MOREX.r3.1HG0011270	HORVU1Hr1G010820
HORVU.MOREX.r3.1HG0011280	HORVU1Hr1G010840
HORVU.MOREX.r3.1HG0011380	HORVU1Hr1G010930
HORVU.MOREX.r3.1HG0011400	HORVU1Hr1G010970
HORVU.MOREX.r3.1HG0011440	HORVU1Hr1G010910
HORVU.MOREX.r3.1HG0011450	HORVU0Hr1G031920
HORVU.MOREX.r3.1HG0011510	HORVU1Hr1G011020
HORVU.MOREX.r3.1HG0011560	HORVU1Hr1G011150
HORVU.MOREX.r3.1HG0011570	HORVU1Hr1G011100
HORVU.MOREX.r3.1HG0011590	HORVU1Hr1G011160
HORVU.MOREX.r3.1HG0011660	HORVU1Hr1G011210
HORVU.MOREX.r3.1HG0011760	HORVU1Hr1G011300
HORVU.MOREX.r3.1HG0011790	HORVU1Hr1G011400
HORVU.MOREX.r3.1HG0011880	HORVU1Hr1G011380
HORVU.MOREX.r3.1HG0011890	HORVU1Hr1G011370
HORVU.MOREX.r3.1HG0011900	HORVU1Hr1G011430
HORVU.MOREX.r3.1HG0011910	HORVU1Hr1G011440
HORVU.MOREX.r3.1HG0011960	HORVU1Hr1G011480
HORVU.MOREX.r3.1HG0011970	HORVU1Hr1G011490
HORVU.MOREX.r3.1HG0012000	HORVU1Hr1G011500
HORVU.MOREX.r3.1HG0012030	HORVU1Hr1G011530
HORVU.MOREX.r3.1HG0012040	HORVU1Hr1G011530
HORVU.MOREX.r3.1HG0012110	HORVU1Hr1G011610
HORVU.MOREX.r3.1HG0012140	HORVU1Hr1G011650
HORVU.MOREX.r3.1HG0012160	HORVU1Hr1G011660
HORVU.MOREX.r3.1HG0012170	HORVU1Hr1G011720
HORVU.MOREX.r3.1HG0012180	HORVU1Hr1G011730
HORVU.MOREX.r3.1HG0012250	HORVU1Hr1G011800
HORVU.MOREX.r3.1HG0012290	HORVU1Hr1G011860
HORVU.MOREX.r3.1HG0012310	HORVU1Hr1G011840
HORVU.MOREX.r3.1HG0012370	HORVU1Hr1G011920
HORVU.MOREX.r3.1HG0012390	HORVU1Hr1G011930
HORVU.MOREX.r3.1HG0012480	HORVU1Hr1G012060
HORVU.MOREX.r3.1HG0012490	HORVU1Hr1G011990
HORVU.MOREX.r3.1HG0012520	HORVU1Hr1G011990
HORVU.MOREX.r3.1HG0012570	HORVU1Hr1G012090
HORVU.MOREX.r3.1HG0012620	HORVU1Hr1G012140
HORVU.MOREX.r3.1HG0012630	HORVU1Hr1G012150
HORVU.MOREX.r3.1HG0012640	HORVU1Hr1G012170
HORVU.MOREX.r3.1HG0012650	HORVU1Hr1G012180
HORVU.MOREX.r3.1HG0012660	HORVU1Hr1G012180
HORVU.MOREX.r3.1HG0012670	HORVU1Hr1G012190
HORVU.MOREX.r3.1HG0012730	HORVU1Hr1G012240
HORVU.MOREX.r3.1HG0012760	HORVU1Hr1G012210
HORVU.MOREX.r3.1HG0012840	HORVU1Hr1G012300
HORVU.MOREX.r3.1HG0012850	HORVU1Hr1G012310
HORVU.MOREX.r3.1HG0012860	HORVU1Hr1G012320
HORVU.MOREX.r3.1HG0013000	HORVU1Hr1G012420
HORVU.MOREX.r3.1HG0013020	HORVU1Hr1G012440
HORVU.MOREX.r3.1HG0013050	HORVU1Hr1G012470
HORVU.MOREX.r3.1HG0013070	HORVU1Hr1G012490
HORVU.MOREX.r3.1HG0013140	HORVU1Hr1G012610
HORVU.MOREX.r3.1HG0013170	HORVU1Hr1G012660
HORVU.MOREX.r3.1HG0013180	HORVU1Hr1G012680
HORVU.MOREX.r3.1HG0013220	HORVU1Hr1G012690
HORVU.MOREX.r3.1HG0013240	HORVU1Hr1G012700
HORVU.MOREX.r3.1HG0013270	HORVU1Hr1G012710
HORVU.MOREX.r3.1HG0013280	HORVU1Hr1G012720
HORVU.MOREX.r3.1HG0013300	HORVU1Hr1G012730
HORVU.MOREX.r3.1HG0013330	HORVU1Hr1G012870
HORVU.MOREX.r3.1HG0013400	HORVU1Hr1G012880
HORVU.MOREX.r3.1HG0013450	HORVU1Hr1G012910
HORVU.MOREX.r3.1HG0013480	HORVU1Hr1G012940
HORVU.MOREX.r3.1HG0013490	HORVU1Hr1G012950
HORVU.MOREX.r3.1HG0013510	HORVU0Hr1G026630
HORVU.MOREX.r3.1HG0013540	HORVU1Hr1G012930
HORVU.MOREX.r3.1HG0013570	HORVU1Hr1G012960
HORVU.MOREX.r3.1HG0013690	HORVU1Hr1G013040
HORVU.MOREX.r3.1HG0013700	HORVU1Hr1G013160
HORVU.MOREX.r3.1HG0013800	HORVU1Hr1G013190
HORVU.MOREX.r3.1HG0013820	HORVU1Hr1G013210
HORVU.MOREX.r3.1HG0013920	HORVU1Hr1G013270
HORVU.MOREX.r3.1HG0013970	HORVU1Hr1G013360
HORVU.MOREX.r3.1HG0013980	HORVU1Hr1G013360
HORVU.MOREX.r3.1HG0014100	HORVU1Hr1G013450
HORVU.MOREX.r3.1HG0014120	HORVU1Hr1G013480
HORVU.MOREX.r3.1HG0014240	HORVU1Hr1G013520
HORVU.MOREX.r3.1HG0014320	HORVU1Hr1G013580
HORVU.MOREX.r3.1HG0014340	HORVU1Hr1G013600
HORVU.MOREX.r3.1HG0014380	HORVU1Hr1G013660
HORVU.MOREX.r3.1HG0014400	HORVU1Hr1G013690
HORVU.MOREX.r3.1HG0014410	HORVU1Hr1G013700
HORVU.MOREX.r3.1HG0014430	HORVU1Hr1G013730
HORVU.MOREX.r3.1HG0014440	HORVU1Hr1G013740
HORVU.MOREX.r3.1HG0014490	HORVU1Hr1G013810
HORVU.MOREX.r3.1HG0014530	HORVU1Hr1G013820
HORVU.MOREX.r3.1HG0014560	HORVU1Hr1G013870
HORVU.MOREX.r3.1HG0014570	HORVU1Hr1G013880
HORVU.MOREX.r3.1HG0014580	HORVU1Hr1G013900
HORVU.MOREX.r3.1HG0014590	HORVU1Hr1G013970
HORVU.MOREX.r3.1HG0014620	HORVU1Hr1G014010
HORVU.MOREX.r3.1HG0014640	HORVU1Hr1G014030
HORVU.MOREX.r3.1HG0014650	HORVU1Hr1G014040
HORVU.MOREX.r3.1HG0014660	HORVU1Hr1G014060
HORVU.MOREX.r3.1HG0014680	HORVU1Hr1G014070
HORVU.MOREX.r3.1HG0014690	HORVU1Hr1G014080
HORVU.MOREX.r3.1HG0014710	HORVU1Hr1G014140
HORVU.MOREX.r3.1HG0014740	HORVU1Hr1G014120
HORVU.MOREX.r3.1HG0014890	HORVU1Hr1G014230
HORVU.MOREX.r3.1HG0014910	HORVU1Hr1G014280
HORVU.MOREX.r3.1HG0015110	HORVU1Hr1G014570
HORVU.MOREX.r3.1HG0015120	HORVU1Hr1G014560
HORVU.MOREX.r3.1HG0015130	HORVU1Hr1G014580
HORVU.MOREX.r3.1HG0015170	HORVU1Hr1G014610
HORVU.MOREX.r3.1HG0015190	HORVU1Hr1G014690
